twitter_id,date,tweet
1546421170328801282,2022-07-11 09:08:32+00:00,b'Moon and Moon \xf0\x9f\x98\x8b @ Onlygo https://t.co/O4v5CD6FWt'
1545993161977532417,2022-07-10 04:47:47+00:00,b'Can\xe2\x80\x99t get move on from Hybe Insight ! https://t.co/KOPnT3bO78'
1545543873577074688,2022-07-08 23:02:28+00:00,"b'Masih cocok kan ?? \xf0\x9f\x98\x8b\xf0\x9f\xa4\xaa @travelsecrets.id @ Seoul, Korea https://t.co/ffIeatt73s'"
1544912269347196929,2022-07-07 05:12:42+00:00,b'Yeeey it\xe2\x80\x99s happening \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 https://t.co/RZUYrblrmM'
1544911801866809344,2022-07-07 05:10:51+00:00,"b'Just posted a photo @ Seoul, Korea https://t.co/v4D4kq2sQ3'"
1544760571848826880,2022-07-06 19:09:55+00:00,b'\xf0\x9f\x92\x99 https://t.co/0r8EGTsUmb'
1543951710162264069,2022-07-04 13:35:47+00:00,b'Paris so hot \xf0\x9f\x96\xa4\xf0\x9f\x92\x99 @ Place Vend\xc3\xb4me https://t.co/QdyeLruik9'
1543386960340860928,2022-07-03 00:11:40+00:00,"b'Hello july \xf0\x9f\x92\x95 @ Paris, France https://t.co/lKVq0vdMss'"
1542811103352299521,2022-07-01 10:03:25+00:00,b'Just posted a photo https://t.co/GtwGygzUJy'
1542761767671107585,2022-07-01 06:47:23+00:00,"b'Happy birthday @danielsuwenda \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 @ Amsterdam, Netherlands https://t.co/PLFc4351Ii'"
1542711361901252608,2022-07-01 03:27:05+00:00,"b'Pancakes and Poffertjes \xf0\x9f\x98\x8b @ Amsterdam, Netherlands https://t.co/TKBqSwM2ZW'"
1542393236693651457,2022-06-30 06:22:58+00:00,b'Momento\xe2\x80\xa6 \xf0\x9f\x98\x8b @ Amsterdam Airport Schiphol https://t.co/l3KEV7tiF8'
1541309640604262401,2022-06-27 06:37:09+00:00,"b'Udah setengah tahun aja nih, kalian setengah tahun ini udah ngapain aja ?'"
1539429650497081344,2022-06-22 02:06:44+00:00,b'\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #help https://t.co/AWoE003T4O'
1539047806488281088,2022-06-21 00:49:25+00:00,b'RT @TSMedia_id: @LunaMaya26  dan Marianne saat naik boat untuk berkeliling Sydney Harbour.\n\nFULL VIDEO: https://t.co/dIO10UuXNM\n\n#TSMedia #\xe2\x80\xa6'
1538723411844800512,2022-06-20 03:20:24+00:00,"b'Bahagia selalu @mrsayudewi and PakRegi. We love You and @gankmentriceria \xf0\x9f\x92\x95 @ The Ritz-Carlton Jakarta, Mega Kuningan https://t.co/lNhRzxqn85'"
1538116581607317505,2022-06-18 11:09:04+00:00,"b'\xe2\x98\x98\xef\xb8\x8f\n\nPhotographer : @winstongomez #winstongomez \nStudio : @11.11studiojakarta \nMUA : @vinaavaniaa \nHairstylist : @ade_ragil_hairdo \nStylist : @fherriioo \nNails : @linneabeautybar_id \n\n#lunamaya @ Jakarta, Indonesia https://t.co/YQAULkav0j'"
1538026621521002496,2022-06-18 05:11:36+00:00,"b'Mau tau gak sih kisah #MyBTStory versi aku ? coba diklik dulu link-nya, jangan lupa comment yaa ! https://t.co/TY0w3lH029 \n\n#sponsored'"
1536578078553559041,2022-06-14 05:15:36+00:00,"b'@patrickowen\n\nMake up @vagueskin\nHair do @yezhadjohair\nStylish @_gilygily @ Jakarta, Indonesia https://t.co/H2E4tTA6K5'"
1536229033767104512,2022-06-13 06:08:38+00:00,b'Just posted a photo @ Tokyo Japan https://t.co/ChubcAvnRT'
1535539377258090496,2022-06-11 08:28:11+00:00,"b'\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 @ Ginza, Tokyo, Japan https://t.co/oqSEzxBrrZ'"
1534801780286144514,2022-06-09 07:37:14+00:00,"b'Just posted a photo @ Jakarta, Indonesia https://t.co/Sw4rL49FMz'"
1534350045579202560,2022-06-08 01:42:12+00:00,b'definisi badan ngerasa remuk tuh bener adanyaa yaa'
1533343322655162370,2022-06-05 07:01:50+00:00,"b'Sydney need no filter \xf0\x9f\x98\x8e @ Sydney, Australia https://t.co/6KjS0219d8'"
1532643713599606784,2022-06-03 08:41:51+00:00,"b'@strangerthingstv press junket @netflixid @netflix @travelsecrets.id @ Sydney, Australia https://t.co/ouJkkg8afw'"
1532173254978420736,2022-06-02 01:32:25+00:00,"b'\xf0\x9f\x98\x87 @ Seoul, Korea https://t.co/l1e3znPjX3'"
1531965105558417408,2022-06-01 11:45:18+00:00,b'let\xe2\x80\x99s go sydney \xf0\x9f\x87\xa6\xf0\x9f\x87\xba'
1531950224037580800,2022-06-01 10:46:10+00:00,b'USA trip @turkishairlines @travelsecrets.id https://t.co/ScFMEwY1Fs'
1531855672379600896,2022-06-01 04:30:27+00:00,b'Ready for the next journeyy !'
1531164453886373889,2022-05-30 06:43:48+00:00,b'korean food emang gak pernah gagaal ! favorit kaliann apaa ?'
1531065375181479937,2022-05-30 00:10:05+00:00,"b'Hey you \xf0\x9f\xab\xa3 @ Itaewon Street, Seoul, South Korea https://t.co/4KMLukmJzE'"
