twitter_id,date,tweet
1538868837088743426,2022-06-20 12:58:16+00:00,b'RT @DoorstepLib: The @ChildhoodTrust #ChampionsForChildren campaign is now LIVE! From now until 21st June any donation you make via @BigGiv\xe2\x80\xa6'
1495761140776947719,2022-02-21 14:03:40+00:00,b'Once an icon always an icon. You inspired me and so many others @jamaledwards. A shinning light and a heart of gold. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/VBZLhm6JOl'
1460006341553135629,2021-11-14 22:06:52+00:00,b'RT @BarackObama: Young people like @JackHarries and our @ObamaFoundation leaders are using their platforms to pressure the world on climate\xe2\x80\xa6'
1458756210958774278,2021-11-11 11:19:17+00:00,"b'RT @COP26: \xe2\x80\x9cToday, we need the correct mix of voices, ambition and action.\xe2\x80\x9d\n\nClimate change could push over 100 million people into poverty\xe2\x80\xa6'"
1453741919570366466,2021-10-28 15:14:17+00:00,"b'I\xe2\x80\x99ve been speaking to people around the world already feeling the effects of climate change and in Glasgow, I\xe2\x80\x99ll be sharing their stories with world leaders. But now is your time to be heard - what would you do if you had a #SeatAtTheTable at #COP26?'"
1453365565070917636,2021-10-27 14:18:47+00:00,b'Check out this brilliant new channel by @GeorgeMonbiot dedicated exclusively to coverage of #COP26! https://t.co/Vpe1ZZNhKO'
1453350040228007936,2021-10-27 13:17:06+00:00,b'Episode Two of Seat At The Table - Farming That Reverses Climate Change: https://t.co/nG7uK6GGBT @YouTube #YouTubeOriginals #SeatAtTheTable'
1453349661016793089,2021-10-27 13:15:35+00:00,b'Episode One of Seat At The Table - How The Climate Crisis Affects Us all: https://t.co/7QHdeViMgi @YouTube  #YoutubeOriginals #SeatAtTheTable'
1452976786619371523,2021-10-26 12:33:55+00:00,b'I\xe2\x80\x99m so grateful to you for being a part of this series @aishaniyaz. Thank you for sharing your story! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f https://t.co/1V75QVhKAs'
1450819978366787586,2021-10-20 13:43:32+00:00,"b'RT @PETAUK: YES \xf0\x9f\x99\x8c @JackHarries \n""Serving non-vegan food at a climate change summit is, to quote my friends at PETA, \xe2\x80\x9clike distributing ciga\xe2\x80\xa6'"
1448931950790692864,2021-10-15 08:41:11+00:00,b'Just posted a video https://t.co/Q57tIGrJmR'
1448703769680691213,2021-10-14 17:34:28+00:00,b'The official trailer for my new show SEAT AT THE TABLE is now live!!! Launching on youtube on the 25th of October. https://t.co/wQPmOG6ejr #SeatAtTheTable'
1448259528626249735,2021-10-13 12:09:13+00:00,"b'RT @BAFTA: With #COP26 fast approaching, don\xe2\x80\x99t miss our TV Q&amp;A for new series Seat at the Table, uncovering the human stories behind the st\xe2\x80\xa6'"
1440713701531680769,2021-09-22 16:24:48+00:00,b'RT @GNDRising: This is the story of our generation.\n\nAre you with us? https://t.co/U7RvE8X2FC'
1440713370211024900,2021-09-22 16:23:29+00:00,b'THIS is what a leader looks like!! #VoteWomackOmond to lead the @TheGreenParty https://t.co/DBmSV2GdEb'
1430523729260552192,2021-08-25 13:33:29+00:00,b'RT @tamsinomond: My first climate action with @JackHarries was back in 2008. His mother - the extraordinarily kind and strong @RebeccaFrayn\xe2\x80\xa6'
1413817708123197440,2021-07-10 11:09:43+00:00,"b""Episode 2 of THE BREAKDOWN is now LIVE! Climate Denial: 50 Years Of Lies and Misinformation. We don't hold back on this one. Please help us get this narrative out there. https://t.co/r7U6V9sO20"""
1409825799050387458,2021-06-29 10:47:18+00:00,"b""RT @CanonEMEApro: Let's go! Discover how modern filmmakers are growing professionally, getting past traditional industry gatekeepers, and u\xe2\x80\xa6"""
1356903327041216512,2021-02-03 09:52:17+00:00,b'Really excited to speaking on this panel today. Follow the link to join us at 11:30am GMT. https://t.co/prxPsHBYun'
1350075284884697091,2021-01-15 13:40:05+00:00,"b'@insideclimate hey guys, I\xe2\x80\x99ve written to you via your website about accessing some crucial Exxon documents. Would be so great if you could get back! Many thanks \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'"
1347500880216649731,2021-01-08 11:10:19+00:00,"b'@RebeccaReCap Hey Rebecca, I\xe2\x80\x99d love to contact you about a new climate series I\xe2\x80\x99m producing for WaterBear Network. What\xe2\x80\x99s the best way to connect?'"
1347500208033304576,2021-01-08 11:07:39+00:00,"b'@SevernSuzuki Hey Severn, I\xe2\x80\x99d love to contact you about a series I\xe2\x80\x99m producing for WaterBear Network. What\xe2\x80\x99s the best way to get in touch?'"
1347499922736750592,2021-01-08 11:06:31+00:00,"b'@nanafirman Hey Nana, I\xe2\x80\x99d love to contact you about a climate series I\xe2\x80\x99m producing for WaterBear Network. Whats the best email to reach you on?'"
1313098855886528514,2020-10-05 12:48:58+00:00,b'Recently I had the chance to meet and interview my hero Sir David Attenborough: https://t.co/0AaEMhg3pD'
1252985196833640450,2020-04-22 15:38:44+00:00,b'RT @dwallacewells: Today is the 50th anniversary of the first Earth Day. Many millions alive today remember it. Three quarters of all the c\xe2\x80\xa6'
1242859803279491085,2020-03-25 17:04:02+00:00,b'Opportunity to catch a live performance with the one and only @nickmulveymusic &gt;&gt;&gt; https://t.co/C4TYAp4zSQ'
1238167817473703939,2020-03-12 18:19:46+00:00,"b""The UK's policy on #Coronavirus https://t.co/Kj0xAdAIbI"""
1232012183732662272,2020-02-24 18:39:28+00:00,b'RT @PETAUK: These tourist traps ABUSE animals. https://t.co/uYVvvAIOD4'
1230167880446115840,2020-02-19 16:30:52+00:00,"b""RT @PlantBasedNews: 'It goes to show how much belief there is in switching to a more #plantbased diet'. @allplants \xf0\x9f\x8c\xb1\xf0\x9f\x91\x8f\xf0\x9f\xa5\xa6 https://t.co/Dk4ZHk6\xe2\x80\xa6"""
1230167760539353088,2020-02-19 16:30:24+00:00,"b""Wanna be part of the plant-based revolution? This is a company I've personally invested in because I believe in their mission. Now you can invest too. @allplants https://t.co/j4FdjyYUb8 https://t.co/QoL1kpJaLK"""
1228359800070770690,2020-02-14 16:46:12+00:00,b'Love and support to all those striking around the world today. Amazing energy here in London. @UKSCN1 #ClimateStrikes #ClimateEmergency https://t.co/3BtTMTzmX3'
1228358330470543360,2020-02-14 16:40:22+00:00,b'It was a pleasure presenting an episode of Green Originals on @BBCRadio4. Follow the link to listen to the series. https://t.co/kK4GY3QQyY'
1223231040426168321,2020-01-31 13:06:21+00:00,"b'I\xe2\x80\x99m excited to be a part of this years \xe2\x80\x98Nature Need Hero\xe2\x80\x99s campaign\xe2\x80\x99. It was an honour standing alongside this group of change-makers, (yoyang, @drakefordpr, @jornwemmenhove) who are working within their own\xe2\x80\xa6 https://t.co/OCq5ZNbdYJ'"
1219307170409435140,2020-01-20 17:14:17+00:00,b'RT @Channel4News: Over 100 million people watched this extraordinary team of doctors save a pregnant woman - and baby - after she was hit b\xe2\x80\xa6'
