twitter_id,date,tweet
1454935114518089728,2021-10-31 22:15:37+00:00,b'Happy Halloween \xf0\x9f\x91\xbb \n\nhttps://t.co/fdodopFdNe https://t.co/GwkBYgDQxB'
1453357493590142977,2021-10-27 13:46:43+00:00,b'\xf0\x9f\x8e\x83Pumpkin Patch\xf0\x9f\x8e\x83\n\nhttps://t.co/lLKSe1Zs5F https://t.co/Lz6Um3CZNG'
1450400605135069186,2021-10-19 09:57:06+00:00,"b'Yesterday we said goodbye to Buddy. \nOur hearts are absolutely broken. You were such a good boy Bud, the best boy. \nOver 9 years of love, we will miss you and remember you forever \xe2\x99\xa5\xef\xb8\x8f\n\nhttps://t.co/5ad7Bnca5F https://t.co/JJgp8yXCJq'"
1446512343366651905,2021-10-08 16:26:32+00:00,b'This is seriously fucked up. https://t.co/3y3ejucJnf'
1446503092342624256,2021-10-08 15:49:46+00:00,b'My tweet was referring to people talking about my old music. Not anyone else\xe2\x80\x99s.'
1446496966830137350,2021-10-08 15:25:26+00:00,"b'I don\xe2\x80\x99t do drama. I keep my head down, write songs. I have so much love for the people who have supported me the last 10 years of my career \xe2\x99\xa5\xef\xb8\x8f'"
1446489352431935489,2021-10-08 14:55:10+00:00,b'It\xe2\x80\x99s not 2010 any more.'
1446489043970240514,2021-10-08 14:53:57+00:00,b'\xf0\x9f\x91\x80 okaaaay. While you are here stream my newer songs. None of my business is a bop.'
1446480862871232520,2021-10-08 14:21:26+00:00,b'Oh hi'
1441042438831886337,2021-09-23 14:11:05+00:00,b'This \xe2\x99\xa5\xef\xb8\x8f\nSending love..\n\nhttps://t.co/y83s80O2ga https://t.co/6R6CeGNS9m'
1440632738759933958,2021-09-22 11:03:05+00:00,b'Hope you are good \xe2\x98\xba\xef\xb8\x8f'
1440631853380038666,2021-09-22 10:59:34+00:00,b'\xe2\x99\xa5\xef\xb8\x8f'
1439593992698667016,2021-09-19 14:15:28+00:00,b'Today was beautiful \xf0\x9f\xa5\xb0\nhttps://t.co/OOD5q6KawK https://t.co/yMvnQkq3mi'
1432259348605063170,2021-08-30 08:30:13+00:00,b'Good Morning \xe2\x98\xba\xef\xb8\x8f'
1427983340024569859,2021-08-18 13:18:53+00:00,b'Happy Wednesday everyone \xf0\x9f\x98\x80\n\nhttps://t.co/9dw5uELZIQ https://t.co/sp6mps4naC'
1426108699991547908,2021-08-13 09:09:44+00:00,b'It\xe2\x80\x99s a good day to have a good day \xf0\x9f\xa7\xa1\nhttps://t.co/Dw5ZojDxtk https://t.co/tzEsH0xw66'
1425102396854874113,2021-08-10 14:31:03+00:00,b'Oh Hi! \n\nhttps://t.co/USI6PBytdI https://t.co/7Qmx0Jy9dZ'
1425008107680325636,2021-08-10 08:16:22+00:00,b'HAPPY BIRTHDAY !!! \xf0\x9f\xa5\xb3 \xf0\x9f\x8e\x89\xf0\x9f\x8e\x82 https://t.co/obbXPlJrpK'
1424041697214877697,2021-08-07 16:16:12+00:00,b'\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f'
1420289533988544513,2021-07-28 07:46:27+00:00,b'Thank you \xf0\x9f\x92\x95\xf0\x9f\x92\x95 https://t.co/LXI4L0IKft'
1420285858578673664,2021-07-28 07:31:50+00:00,b'Good Morning! Thank you so much for all the lovely birthday wishes! \xf0\x9f\x92\x95'
1418487384136638464,2021-07-23 08:25:21+00:00,b'Remember the Channel U days? They were the best \xe2\x98\xba\xef\xb8\x8f'
1418224693929156608,2021-07-22 15:01:31+00:00,b'https://t.co/M6KC6og39M\n\nHope everyone is having a lovely day \xf0\x9f\x98\x8e https://t.co/CBYBpOkNvw'
1417760015914618881,2021-07-21 08:15:03+00:00,b'Good morning! Sending good vibes \xf0\x9f\x98\x8e'
1417749399455813633,2021-07-21 07:32:51+00:00,b'Love all the songs on this album https://t.co/8zAZWJUoge'
1415667121917370372,2021-07-15 13:38:38+00:00,b'\xe2\x99\xa5\xef\xb8\x8f\n\nhttps://t.co/r8AtL7NoK7 https://t.co/yqqfzrlbBM'
1412801966191874056,2021-07-07 15:53:31+00:00,b'Helllloooo \xf0\x9f\xa4\x8d\n\nhttps://t.co/kZfV5sVTLs https://t.co/O3bSkyYRcb'
1411606528793186305,2021-07-04 08:43:17+00:00,b'Oh I love a rainy Sunday'
1411605804109680641,2021-07-04 08:40:24+00:00,b'Good morning!'
1411604584469045248,2021-07-04 08:35:33+00:00,"b'\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95 I voted for u, I love your design lovely \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95  please vote guys! https://t.co/LZhDYCAscQ'"
1408343889967259651,2021-06-25 08:38:43+00:00,b'\xf0\x9f\x98\x82 https://t.co/qTVp1mQN58'
1408342980235304963,2021-06-25 08:35:06+00:00,b'\xf0\x9f\x98\xb3 https://t.co/lwfFjrYkQM'
1407733313926799361,2021-06-23 16:12:31+00:00,b'I\xe2\x80\x99ve listened to Yebba - October Sky on repeat since it was released. So moving. Beautiful!'
1407731193550979072,2021-06-23 16:04:05+00:00,b'Much better.'
1407706512684900356,2021-06-23 14:26:01+00:00,b'Fuck sake autocorrect'
1407706401980440578,2021-06-23 14:25:34+00:00,b'Just let me be. Ducking hell'
1407705929391411202,2021-06-23 14:23:42+00:00,b'You ever just wanna tell people to piss off?'
1407705712684322819,2021-06-23 14:22:50+00:00,b'Facebook is wild'
1407697779309285377,2021-06-23 13:51:19+00:00,b'You make me happy when skies are grey \xf0\x9f\x92\x9b\n\nhttps://t.co/iI9mzOp25H https://t.co/d9akgZoueS'
1405827444825903106,2021-06-18 09:59:16+00:00,b'The only opinion of you that matters is your own. Be kind to yourself.'
1405825223774162946,2021-06-18 09:50:26+00:00,b'Do you feel like you absorb other peoples energy? I have a hard time shaking it off.  Sometimes it\xe2\x80\x99s a weight.'
1405819224392712192,2021-06-18 09:26:36+00:00,b'I just don\xe2\x80\x99t put up with the shit I used to. It feels good!'
1405818247988105219,2021-06-18 09:22:43+00:00,b'As I get older I feel myself becoming a lot less tolerant.'
