twitter_id,date,tweet
1546603234189508610,2022-07-11 21:12:00+00:00,b'Crikey. https://t.co/yJYM2gkjhA'
1546580998388858881,2022-07-11 19:43:38+00:00,b'Lovely to have your company @ellsbells89 \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb https://t.co/2ZObWHJILK'
1546580454463119360,2022-07-11 19:41:29+00:00,b'Just the 5 goals in 40 minutes for the @Lionesses. Time to stop holding back and really go for it.'
1546241406737457152,2022-07-10 21:14:13+00:00,b'@RachelRMoran I absolutely support fair play in sport.'
1546238011846819841,2022-07-10 21:00:44+00:00,b'@runthinkwrite @MForstater @sharrond62 @Martina @mara_yamauchi I wasn\xe2\x80\x99t talking about any specific issue. Just generally on the war on woke.'
1546237491576963072,2022-07-10 20:58:40+00:00,b'@RachelRMoran I was talking generally about the war on woke. Not any specific subject. Your angry response sort of proves my point. Everything is so divisive now and angry.'
1546235517611778048,2022-07-10 20:50:49+00:00,b'@Bitterlaketrout @DjokerNole \xf0\x9f\x98\xb4'
1546180919341551618,2022-07-10 17:13:52+00:00,b'She\xe2\x80\x99s wonderful. https://t.co/ag8XKUUcx1'
1546180745110196224,2022-07-10 17:13:10+00:00,"b'@bindelj Yes, really. And you are kind of proving my point.'"
1546174216340480000,2022-07-10 16:47:14+00:00,b'@bindelj I was talking about the war on woke and not any specific subject.'
1546165249044353032,2022-07-10 16:11:36+00:00,b'Congratulations to the brilliant @DjokerNole who finally wins a court battle against an Australian.'
1546152459344773123,2022-07-10 15:20:47+00:00,b'@MForstater But it\xe2\x80\x99s divisive. The only point made.'
1546148035821977600,2022-07-10 15:03:12+00:00,"b'I have to say, his bonkersness makes it fun to watch. \xf0\x9f\xa4\xa3 https://t.co/eUomgl3q4c'"
1546146006424756224,2022-07-10 14:55:08+00:00,"b'If I was a braver man, I\xe2\x80\x99d call her Cruella. https://t.co/D0WpF8Wdfj'"
1546073198629998592,2022-07-10 10:05:49+00:00,b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb https://t.co/DGEydbQdlx'
1546072901325131776,2022-07-10 10:04:38+00:00,b'@richie26188 Different point.'
1546072437976096768,2022-07-10 10:02:48+00:00,b'@politicalhackuk @WelshGasDoc \xf0\x9f\xa4\xa3'
1546071802945970176,2022-07-10 10:00:17+00:00,b'Absolutely agree. Cut out the divisive nonsense. https://t.co/G0zLuO9zZj'
1545745801426751490,2022-07-09 12:24:52+00:00,b'Fascinating. \xe2\xac\x87\xef\xb8\x8f https://t.co/Ufy1aNJALQ'
1545693415299579905,2022-07-09 08:56:42+00:00,b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb https://t.co/c1Jd6hOYwN'
1545110563667296256,2022-07-07 18:20:39+00:00,"b'RT @Kasparov63: Putin wants to have a victory party for his 70th birthday on Oct 7. He wants control of Luhansk and Donetsk, to occupy and\xe2\x80\xa6'"
1545070421720047617,2022-07-07 15:41:09+00:00,b'RT @ScottDuncanWX: The 8 hottest Junes on record (globally) all occur in the last 8 years.\n\nJune 2022 takes 3rd place. Many notable heat re\xe2\x80\xa6'
1545010611213459460,2022-07-07 11:43:29+00:00,b'And\xe2\x80\xa6..breathe.'
1545001074905554945,2022-07-07 11:05:35+00:00,b'RT @CarolineLucas: Our climate can\xe2\x80\x99t be a pawn in the Tory leadership psychodrama playing out live on TV\n\nA Prime Minister openly in the po\xe2\x80\xa6'
1544989002490695681,2022-07-07 10:17:37+00:00,b'@TonyBellew \xf0\x9f\xa4\xa3'
1544958544553943040,2022-07-07 08:16:35+00:00,b'He\xe2\x80\x99s going. Give it to Big Sam for the rest of the season.'
1544956274722459648,2022-07-07 08:07:34+00:00,b'Must have failed the medical. https://t.co/KZZcytooMe'
1544951540607238146,2022-07-07 07:48:45+00:00,b'Canceler of the exchequer https://t.co/4vNFDKfy2D'
1544949367966253056,2022-07-07 07:40:07+00:00,b'Another boring week in politics. So little to discuss. https://t.co/T5qXfCHKwi'
1544948929770438659,2022-07-07 07:38:23+00:00,b'Jan Molby. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/gERzZcmW4W'
1544941714728697861,2022-07-07 07:09:43+00:00,b'Fully deserving of his record. A baller. https://t.co/Al6PDxQgK2'
1544939945067962368,2022-07-07 07:02:41+00:00,b'Why would I? I\xe2\x80\x99m afraid you\xe2\x80\x99re stuck with me for a while. \xf0\x9f\xa4\xa3 https://t.co/Jak9k689ym'
1544939673545572353,2022-07-07 07:01:36+00:00,b'Ah Sir Bobby. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb https://t.co/JGbibWWv4W'
1544936453750362112,2022-07-07 06:48:48+00:00,"b'With 52, Boris Johnson has now ahead of @HKane and is just one behind @WayneRooney'"
1544934407978766336,2022-07-07 06:40:41+00:00,"b'RT @0Calamity: While all this fuss is going on, how many people noticed that France has just taken EDF 100% back into state ownership to ad\xe2\x80\xa6'"
1544756458495123458,2022-07-06 18:53:34+00:00,b'Good luck to the @Lionesses. Bring it home.'
1544702481703354368,2022-07-06 15:19:05+00:00,b'A shout out to #NationalResigningDay'
