twitter_id,date,tweet
1546370329102012416,2022-07-11 05:46:31+00:00,"b'RT @Isellmpls: Joanna McClinton is the Democratic Leader of the Pennsylvania House. Please listen to her message, retweet and give her a fo\xe2\x80\xa6'"
1546199886646808576,2022-07-10 18:29:14+00:00,b'He\xe2\x80\x99s not afraid of going on Fox News and speaking clearly calmly and honestly. He is a leader https://t.co/guNKPEBU2A'
1546161180808335360,2022-07-10 15:55:26+00:00,"b""RT @spockosbrain: Post Roe what's the plan for activists?\n@lizzwinstead tells @EmmaVigeland @SamSeder about direct action that makes a diff\xe2\x80\xa6"""
1545906029795241985,2022-07-09 23:01:33+00:00,b'@billburr @MikeBinderjokes https://t.co/SGRF7lncAy'
1545905047011151872,2022-07-09 22:57:39+00:00,b'@heckyessica This is a lil closer https://t.co/R5T6HfmwDh'
1545904570697625605,2022-07-09 22:55:45+00:00,b'@billburr @MikeBinderjokes Hey how are ya \nhey how are ya\n\xe2\x9d\xa4\xef\xb8\x8f'
1545579029108891648,2022-07-09 01:22:10+00:00,"b""RT @chrislhayes: One of the anti-abortion movement's most durable and effective tactics was to use the first amendment to protest outside p\xe2\x80\xa6"""
1545575802208542720,2022-07-09 01:09:21+00:00,b'Yeah you are https://t.co/lmYa7DC6w0'
1545547694780715010,2022-07-08 23:17:39+00:00,"b""RT @JroWooTown: Yeah, Sari, this (Ohio), plus \nCan't Say Gay (Florida) , plus\nCan't Say Slavery (Texas), plus\nCan't Have Classroom Rainbows\xe2\x80\xa6"""
1545547688493453312,2022-07-08 23:17:38+00:00,b'RT @eve_goes_local: @MayoIsSpicyy Let\xe2\x80\x99s not forget that Florida is also trying to redefine #Slavery as #InvoluntaryRelocation. Talk about t\xe2\x80\xa6'
1545525269842169856,2022-07-08 21:48:33+00:00,"b'RT @chelseahandler: Help states like MI fight bans by supporting the legal teams doing this work in the courts as we speak, via @Public_Rig\xe2\x80\xa6'"
1545524793738375168,2022-07-08 21:46:39+00:00,"b""RT @NickKnudsenUS: Our grandparents didn't sacrifice everything to beat the Nazis so that the modern GOP could teach BOTH SIDES of the holo\xe2\x80\xa6"""
1545523779446534144,2022-07-08 21:42:38+00:00,b'We\xe2\x80\x99re always told we are overreacting. We weren\xe2\x80\x99t. https://t.co/JIeuSGMJyT'
1545085772956459009,2022-07-07 16:42:09+00:00,"b'Ep93: Roe, Death, Graham Norton \nhttps://t.co/MvyoCqg2fR'"
1544906741359341568,2022-07-07 04:50:44+00:00,b'Do men know how familiar this is https://t.co/lAjgSZRtz1'
1544792197299466241,2022-07-06 21:15:35+00:00,b'Leave me a message for #SarahSilvermanPod by clicking here:\nhttps://t.co/UhoqCWRpEK'
1544301163918401536,2022-07-05 12:44:23+00:00,"b'Like they say in the Bible, \nBe Fearful and Multiply. https://t.co/eIb8c56v8T'"
1544194767013044224,2022-07-05 05:41:36+00:00,b'Who is she texting with the Supreme Court https://t.co/lAjgSZRtz1'
1544157904013406209,2022-07-05 03:15:08+00:00,b'My god https://t.co/pch64AhRvd'
1544036872648736768,2022-07-04 19:14:11+00:00,"b'RT @tressiemcphd: I knew he was physically beautiful, of course. But this\xe2\x80\xa6 https://t.co/3WEzdYXmgr'"
1543641204008423425,2022-07-03 17:01:57+00:00,"b'RT @AOC: Past Presidents, from Lincoln to FDR, understood the dangerous stakes of allowing an unchecked Court overreach its authority and t\xe2\x80\xa6'"
1543641158819016704,2022-07-03 17:01:46+00:00,b'RT @thenation: Both Lincoln and FDR faced reactionary courts that stood in the way of their agendas. Those embattled presidents didn\xe2\x80\x99t shir\xe2\x80\xa6'
1543640757885497344,2022-07-03 17:00:10+00:00,b'@maiamimi Slamming??? Really? Wow. And Biden CAN do something- see: Lincoln\xe2\x80\x99s emancipation proclamation and FDR\xe2\x80\x98s new deal'
1543374915469856768,2022-07-02 23:23:49+00:00,b'RT @SawyerHackett: The Texas Supreme Court has ruled that the state can now enforce its 1925 law criminalizing abortion.\n\nAbortion doctors\xe2\x80\xa6'
1543374699253547008,2022-07-02 23:22:57+00:00,"b'RT @GavinNewsom: California is offering tax breaks to encourage businesses to move OUT of anti-choice, repressive states like Texas and to\xe2\x80\xa6'"
1543365530798608384,2022-07-02 22:46:31+00:00,"b'RT @molliekatie: @MarlenaStell @kevinddaly I will never get over anti-abortionists treating ""late-term abortion"" like the pregnant person i\xe2\x80\xa6'"
1543365478835400704,2022-07-02 22:46:19+00:00,b'RT @MarlenaStell: Here\xe2\x80\x99s how the abortion laws affect pregnant women who want their babies. For those still refusing to see how this affect\xe2\x80\xa6'
1543364315419267073,2022-07-02 22:41:41+00:00,"b'RT @OfficialJLD: Some actual good news!\n\nBecause of your donations, pro-choice state legislative candidates running for key seats have been\xe2\x80\xa6'"
