twitter_id,date,tweet
1546149036943585280,2022-07-10 15:07:11+00:00,b'@Grumpyoldken @CelebJuice Big cheers'
1546148776242462721,2022-07-10 15:06:08+00:00,b'@AlanRoffey3 @CelebJuice Cheers! I didn\xe2\x80\x99t know what will happen with it. I was just the host. But it was a lovely time! On to the next thing! Thanks for watching!'
1546148405461786627,2022-07-10 15:04:40+00:00,b'@djrickmarshall @lemontwittor Ace!'
1543182121195524097,2022-07-02 10:37:43+00:00,b'@NitinKundra @lemontwittor @CelebJuice Big cheers mate! Hope ya well'
1543181429986697216,2022-07-02 10:34:58+00:00,b'@barbiesands All good things come to an end'
1543181323757658112,2022-07-02 10:34:33+00:00,b'@PatriciaWalker5 @CelebJuice Just come to it\xe2\x80\x99s natural end'
1543181215318130688,2022-07-02 10:34:07+00:00,b'@CarolineLScrase @CelebJuice Concluding.'
1542032250686013440,2022-06-29 06:28:32+00:00,"b'After 14 years, 26 series, 300 eps @CelebJuice is concluding later this year with two farewell specials. Thank you so so much to everyone who watched, to the team captains, guests, crew and itv2. It was the longest most fun party! I had a wonderful time. Big love x https://t.co/1SqJDYkj1j'"
1538454613426307073,2022-06-19 09:32:17+00:00,b'Happy Father\xe2\x80\x99s Day https://t.co/ZNsXIJw15e'
1536946613062606848,2022-06-15 05:40:02+00:00,b'Flackstock Tees available at https://t.co/98yo2tJxec all profits go to @samaritans https://t.co/0hbOnhDdnd'
1536946264213954562,2022-06-15 05:38:39+00:00,b'@tinkerally @amblin @UniversalPics Ha no! Always loose something in a move. Luckily I\xe2\x80\x99ve still got my leather plush E.T.!'
1536287516352978944,2022-06-13 10:01:01+00:00,b'@TangibleDerek @amblin @UniversalPics Yes!!'
1536094770770198534,2022-06-12 21:15:07+00:00,b'@katiejmoritz Only way to get rid of trolling is to get rid of social media! But good luck!'
1536094478120910848,2022-06-12 21:13:57+00:00,"b'RT @amblin: 40 years ago today, a very special visitor from beyond the stars first enchanted audiences around the world in E.T. THE EXTRA-T\xe2\x80\xa6'"
1536094427625701377,2022-06-12 21:13:45+00:00,b'@amblin @UniversalPics One of my fave films ever! Happy anniversary E.T.'
1536093612072656902,2022-06-12 21:10:31+00:00,b'@SirBazkins78 @BBCRadio4 @GabyRoslin @benshephard Big cheers'
1535241350005784579,2022-06-10 12:43:55+00:00,b'@fowlershomer Ah right. I guess we\xe2\x80\x99ve all got different senses of humour. I didn\xe2\x80\x99t get it??? But hey have a great Friday!'
1535240958283075584,2022-06-10 12:42:22+00:00,b'@katiejmoritz You too! Have a great weekend!'
1535189340506185731,2022-06-10 09:17:15+00:00,b'@katiejmoritz Only person I know who works on love island is Laura and Ian. Maybe give them a shout'
1535189057659084801,2022-06-10 09:16:08+00:00,b'@Lady_Insanity Not sure how but it would be a lot of fun'
1535188888800608267,2022-06-10 09:15:28+00:00,b'@Faxing_Berlin_ That\xe2\x80\x99s nasty in it. I think it\xe2\x80\x99s great. Ya can always second guess twitter. What a miserable pit.'
1535188617743802369,2022-06-10 09:14:23+00:00,b'@fowlershomer That\xe2\x80\x99s a picture of someone dressed as a kiss member. I was talking about the skilled crafting of a doll someone had made'
1534784141660651520,2022-06-09 06:27:08+00:00,b'Thanks to whoever sent me this! Ace! https://t.co/z3mG6ORdUg'
1534783396806897665,2022-06-09 06:24:11+00:00,b'@mariners1972 @newbrook82 I am'
1534783046095982594,2022-06-09 06:22:47+00:00,b'@sarah_leigh142 @newbrook82 @robbiewilliams @poppapete299 He\xe2\x80\x99s not ageing well but he looks like me? That\xe2\x80\x99s rude on all levels #justsaying . What\xe2\x80\x99s the point in just saying? Always best to say nothing if you\xe2\x80\x99ve got nothing nice to say. I think he looks cool! I expect you look ace! I hope you get many compliments x'
1534781477099020288,2022-06-09 06:16:33+00:00,b'@katiejmoritz Sorry. Best talk to itv2 about love island stuff I guess. And as for a new social media plat form? I think there\xe2\x80\x99s too many already. It\xe2\x80\x99s to hard to keep up'
1534444758868819968,2022-06-08 07:58:33+00:00,b'@katiejmoritz Not very no?'
1534444442190499840,2022-06-08 07:57:18+00:00,b'@newbrook82 You\xe2\x80\x99ve spelt Keith wrong'
1534444173633388544,2022-06-08 07:56:14+00:00,b'@SirBazkins78 @GabyRoslin Cheers!'
1533692299451957253,2022-06-06 06:08:33+00:00,b'@katiejmoritz I\xe2\x80\x99m just in meetings'
1533692109634646017,2022-06-06 06:07:48+00:00,b'@tom_roberts16 I wouldn\xe2\x80\x99t mind being Mark Owen'
1533691917829124096,2022-06-06 06:07:02+00:00,b'@newbrook82 Is he?'
1531897565221879809,2022-06-01 07:16:55+00:00,b'@RobinPopePhoto @ElvisMovie I did!'
1529939412611649536,2022-05-26 21:35:55+00:00,"b'RT @CelebJuice: For the final time this series, come and check out @lemontwittor give some of your favourite celebs the opportunity of a li\xe2\x80\xa6'"
1529711616417271809,2022-05-26 06:30:44+00:00,b'@Kathbum brings her lovely big hair to @CelebJuice tonight at 10pm on @itv2 last in the series https://t.co/0WsOQ0i01D'
1529510849852887049,2022-05-25 17:12:58+00:00,b'https://t.co/jfau2HnWfN'
1529433796440883200,2022-05-25 12:06:47+00:00,b'Full video on my YouTube channel Keith Lemons Doings https://t.co/yXb8g2mrZ5'
1526682411903352832,2022-05-17 21:53:46+00:00,b'@Janwah1 @AmandaHolden I wold love to do more'
1526682301425504261,2022-05-17 21:53:19+00:00,b'@rob1liner This is some of my art abs you can buy it from https://t.co/j491zVxq5h all profits go to @samaritans https://t.co/Pyqjac5fel'
1523579129333153793,2022-05-09 08:22:25+00:00,b'@shepherdmg @Julian5News @scottygb Ha ha'
1523579061544849408,2022-05-09 08:22:09+00:00,b'@Janwah1 @AmandaHolden Would love to do more'
1522558053526220804,2022-05-06 12:45:02+00:00,b'@herbydrums1 @andyhmurray Nope'
1522151948375535620,2022-05-05 09:51:19+00:00,b'@amevs5 @vickimichelle @lemontwittor @PaddyMcGuinness @CelebJuice @itv2 Big cheers x'
1521047975182671874,2022-05-02 08:44:31+00:00,b'@Sean_Boon Cheers'
1521047859986055168,2022-05-02 08:44:04+00:00,b'@BaggiesMike79 @vickimichelle @lemontwittor @PaddyMcGuinness @CelebJuice @itv2 Thank you'
1520694718077849601,2022-05-01 09:20:48+00:00,b'@DanWait26210819 Big cheers'
1520694683017650176,2022-05-01 09:20:40+00:00,b'@HelenCh666 Thank you'
1520694629896708098,2022-05-01 09:20:27+00:00,b'@dw210806 Cheers'
1520694525957713925,2022-05-01 09:20:02+00:00,b'@Grimesygrimes Thank you. Too true!'
1520694448237293570,2022-05-01 09:19:44+00:00,b'@vickimichelle @lemontwittor @PaddyMcGuinness @CelebJuice @itv2 Thank you very very much xxx'
1520694409578397697,2022-05-01 09:19:35+00:00,b'RT @vickimichelle: Happy Birthday Fabulous Leigh Francis aka Keith Lemon. A really lovely bloke. Great fun memory when I worked with him on\xe2\x80\xa6'
1520694378968363008,2022-05-01 09:19:27+00:00,b'@JanFitzgibbons Thank you'
1520694355916472320,2022-05-01 09:19:22+00:00,b'@CelebBirthday_ @lemontwittor Cheers'
1520694303856676865,2022-05-01 09:19:09+00:00,b'@AmandaBuckby21 Thank you'
