twitter_id,date,tweet
1277292606058196994,2020-06-28 17:27:42+00:00,b'@seanhannity My 13 year old grandson could make better moral intuitive just decisions than Deblasio.  He will go down as one of the most inept puppet mayor in the history of US'
1261050823729008640,2020-05-14 21:48:40+00:00,b'@seanhannity Of course any surprises here no it\xe2\x80\x99s always misdirection and misinformation that Dems use that can\xe2\x80\x99t speak the truth!'
1183865070603759617,2019-10-14 22:00:02+00:00,b'\xf0\x9f\x90\xbb https://t.co/jXcLf5YYQm'
923877578167017474,2017-10-27 11:42:34+00:00,b'Show Your Customers Why They Should Buy #Customers  #business #Sales #Entrepreneur @Forbes @ForbesTreps  https://t.co/XLrFBKiN3q\xe2\x80\xa6'
923319864214851584,2017-10-25 22:46:24+00:00,"b'RT @stevedragoo: Entrepreneurs, cultivate the ways music can influence your business!  @DavidKWilliams @joepine @IDDBAMIKE #SING https://t.\xe2\x80\xa6'"
923316036060971008,2017-10-25 22:31:12+00:00,b'RT @annebibb: Become a Lion Among Sheep With These 10 Daily Rituals https://t.co/jgTP3vDVbr #leadership RT @DavidKWilliams @Addicted2Success'
919695928629407744,2017-10-15 22:46:11+00:00,b'RT @TheDennisWagner: Show Your Customers Why They Should Buy via @forbes https://t.co/VcimqjnZ0Q by @DavidKWilliams #Software #Technology #\xe2\x80\xa6'
919695859901534208,2017-10-15 22:45:54+00:00,b'RT @stevedragoo: The main difference! @TheDennisWagner @DavidKWilliams @DamiraMaricic https://t.co/riWQnaWsxc'
919393884869758976,2017-10-15 02:45:58+00:00,b'RT @annebibb: Four Counterintuitive Sales Strategies That Will Increase Leads And Drive Revenue @forbes @DavidKWilliams https://t.co/ar40Pj\xe2\x80\xa6'
919023094492151808,2017-10-14 02:12:35+00:00,b'If only all of us could do this for one another imagine how mankind would transform. #forgiveness #courage #quote #thought #relationships https://t.co/F4vBXc4MOw'
919018186032295936,2017-10-14 01:53:04+00:00,"b""There's no valid reason to fear the coincidence of any day and date, but we're still creeped out by Friday the 13th https://t.co/qxqMOhKHcy"""
918826298948009984,2017-10-13 13:10:35+00:00,"b'Yes @spencerrayner I have many people say nice words.  Words are easy,talk is cheap unless its backed by behavior consistent with their talk https://t.co/4ITi12UhMT'"
918588394531442688,2017-10-12 21:25:14+00:00,b'RT @JonDLand: Wordsoftheday! RT @DavidKWilliams / @RomanJancic @drjoyce_knudsen @CarlRamallo @Sunita_Says_ @KJWari @elaine_perry @marshawri\xe2\x80\xa6'
918345878435442688,2017-10-12 05:21:34+00:00,"b'RT @BasebaIlKing: ""THEY SAID IT WAS A REBUILDING YEAR."" Congratulations to the New York Yankees on overcoming a 2-0 deficit and moving on t\xe2\x80\xa6'"
918092569585823744,2017-10-11 12:35:00+00:00,b'RT @DamiraMaricic: My first breath #DamiraMaicic #photography #nature #redRobin #babybird #eggs #birdeggs #quote #love https://t.co/YfV6HuG\xe2\x80\xa6'
917910520052764672,2017-10-11 00:31:36+00:00,b'RT @amypcastro: Five Ways To Keep Valued Employees via @DavidKWilliams https://t.co/vMBuOEV86r #business #leadership'
917902938152099842,2017-10-11 00:01:28+00:00,b'Remember this. Very few people do #Forgiveness #unconditionallove #movingforward #dd33 #change #walkyourtalk #quote #ThoughtLeadership https://t.co/ykcpl8K8j6'
917851990591291392,2017-10-10 20:39:02+00:00,b'High-resolution imagery brings a clarity several orders of magnitude greater than satellite pictures https://t.co/MtzfSYS0QB #photography'
917545866608693249,2017-10-10 00:22:36+00:00,b'RT @1andreacallahan: 10 Management Tips for Great Leaders rt @DavidKWilliams @10MillionMiler @abelekene... by #RockChristopher https://t.co\xe2\x80\xa6'
917385879253143560,2017-10-09 13:46:52+00:00,"b""For large or small companies,the rising cost &amp; complexity of ins,is their biggest nightmare.Don't let it be yours. https://t.co/62YLUwHN3P https://t.co/obCTVDnEMH"""
917384431383515136,2017-10-09 13:41:07+00:00,"b'Remains of the Ni\xc3\xb1a, the Pinta, and the Santa Maria have proved elusive despite decades of searching. #ColumbusDay  https://t.co/KklA2UOEBj'"
917383736005726208,2017-10-09 13:38:21+00:00,"b'Thaler, Famed for \xe2\x80\x98Nudge\xe2\x80\x99 Theory, Wins Nobel Economics Prize #NobelPrize2017 #NobelPrize @business @7NonNegotiables  https://t.co/t6l7cZUeF5'"
917375584573050880,2017-10-09 13:05:58+00:00,b'You\xe2\x80\x99re only given one little spark of madness. You mustn\xe2\x80\x99t lose it! #quote #RobinWilliams #life #stayingPositive #BeYourself #BeUnique https://t.co/5saGE0aXXf'
917221764538814464,2017-10-09 02:54:44+00:00,b'RT @amyklobuchar: My mom taught second grade until she was 70 &amp; her favorite unit to teach was on monarch butterflies. She would have loved\xe2\x80\xa6'
917165884451512321,2017-10-08 23:12:41+00:00,"b'Nearmap captures what it calls multi-view, multi-dimensional visual content. https://t.co/MtzfSYApZ3 @NearmapAU #technology #startups'"
917164604974862337,2017-10-08 23:07:36+00:00,"b""For large or small companies,the rising cost &amp; complexity of ins,is their biggest nightmare.Don't let it be yours. https://t.co/62YLUwHN3P https://t.co/mdiNUQKLgP"""
917019898093756416,2017-10-08 13:32:35+00:00,b'Show Your Customers Why They Should Buy #Customers  #business #Sales #leadership #Entrepreneur @Forbes @ForbesTreps  https://t.co/ZZhCKeAZqV'
916635424289906688,2017-10-07 12:04:50+00:00,b'RT @DamiraMaricic: Making America RICH again!!! Way to go Mr.President! 5 trillions 121 billion... \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 @realDonaldTrump @POTUS @foxnewspolit\xe2\x80\xa6'
916145373944729603,2017-10-06 03:37:32+00:00,b'There is a difference between giving up...A \xe2\x80\x9cnever-quite\xe2\x80\x9d personality like me struggles with this #thought but I\xe2\x80\x99ve figured a few things out https://t.co/PFHvZZoIMQ'
916142370504232960,2017-10-06 03:25:36+00:00,"b'RT @M_3jr: In #Sales keep ur word! #CEO of @Fishbowl @DavidKWilliams says trust is ""a non-negotiable trait."" @GoVengreso https://t.co/Gfj2i\xe2\x80\xa6'"
916142076005318658,2017-10-06 03:24:26+00:00,"b'RT @FoxNews: Vegas victim on meeting @POTUS: ""Shot in the leg or not, I will stand to show my President the respect he deserves!\xe2\x80\x9d https://t\xe2\x80\xa6'"
915949636086587393,2017-10-05 14:39:45+00:00,b'RT @annebibb: Forgiveness: The Least Understood #Leadership Trait In The Workplace by @DavidKWilliams https://t.co/L5jpUrz8uP #business'
915759769780211713,2017-10-05 02:05:17+00:00,b'RT @amypcastro: RT @davidkwilliams: Patience is not ability to wait but the ability to keep good attitude while waiting. #quotes https://t.\xe2\x80\xa6'
915580990977912832,2017-10-04 14:14:53+00:00,"b""You might need a little extra. Want to stay lean as you get older? You'll need to step up your exercise routine: https://t.co/JY9EFInMyI https://t.co/HmWoAyqEKg"""
