twitter_id,date,tweet
1538683935428780032,2022-06-20 00:43:32+00:00,b'\xe2\x80\x98Feliz D\xc3\xada Del Padre\xe2\x80\x99'
1532413402995257358,2022-06-02 17:26:40+00:00,b'#tbt\n\n#Corazon #Musica https://t.co/dXeiZ0NTH9'
1527873942282567680,2022-05-21 04:48:29+00:00,b'Mi gente estoy feliz \xf0\x9f\x98\x81 en  #Pereira #Colombia \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa\n\nMa\xc3\xb1ana s\xc3\xa1bado 21 de mayo cantar\xc3\xa9mos y bailaremos \n\n#Concierto #Mexico #SolteroFeliz #Expofuturo https://t.co/Sv7iMDzGeu'
1524891531324411913,2022-05-12 23:17:26+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/vHDrE85uxo'
1521537335892062208,2022-05-03 17:09:04+00:00,b'Si me quieres ver ...\n\n#CobijasAjenas #NoPonganEsasCanciones https://t.co/QOpB5D7K6i'
1520130837278347264,2022-04-29 20:00:08+00:00,b'Nos vemos hoy viernes 29 de abril  en #Valledupar #Colombia \xf0\x9f\x87\xa8\xf0\x9f\x87\xb4\n\n#ELProximoViernes #SolteroFeliz #OlvidoIntencional https://t.co/UHIxT1skSV'
1512933487094947845,2022-04-09 23:20:26+00:00,b'#MorenoNatural https://t.co/b913bvsaPW'
1510066706101817347,2022-04-02 01:28:53+00:00,b'Escucha #OlvidoIntencional por @AppleMusicES \n\n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\nhttps://t.co/w5Rj8eVLiH\n\n#AppleMusic #NoPonganEsasCanciones #Mariachi https://t.co/uSIgHhJDtA'
1509327082660278274,2022-03-31 00:29:53+00:00,b'#HombreNormal https://t.co/YdXiRoVO5t'
1508878354149171203,2022-03-29 18:46:47+00:00,"b'S\xc3\xa9 que nada pasara, si ma\xc3\xb1ana no me ves \xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb6  \n\n#HombreNormal por @YouTube  \n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb  https://t.co/TrMya7HrPz'"
1505009548058402821,2022-03-19 02:33:32+00:00,b'Hoy premier de mi video #SolteroFeliz por mi canal de YouTube #EspinozaPazTV    \n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/XbOLmjv6KO\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb5:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\x96\xf0\x9d\x97\x97\xf0\x9d\x97\xa0\xf0\x9d\x97\xab / \xf0\x9d\x97\x95\xf0\x9d\x97\xa2\xf0\x9d\x97\x9a\xf0\x9d\x97\xa2\xf0\x9d\x97\xa7\xc3\x81\n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb4:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\xa0\xf0\x9d\x97\x94\xf0\x9d\x97\xad\xf0\x9d\x97\x94\xf0\x9d\x97\xa7\xf0\x9d\x97\x9f\xc3\x81\xf0\x9d\x97\xa1 \n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb3:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\x9f\xf0\x9d\x97\x94'
1500607488038948864,2022-03-06 23:01:19+00:00,b'#Corazon https://t.co/UnLgXtc2kj'
1499573872227672067,2022-03-04 02:34:06+00:00,b'#PuntoCom https://t.co/49QKmsp8bW'
1497687960686260224,2022-02-26 21:40:10+00:00,b'#corazon https://t.co/ibaljlPcb3'
1497401308206272516,2022-02-26 02:41:06+00:00,b'Los invito hoy a la premier de mi nuevo video #PersonasChingaVidas por mi canal de @YouTube  #EspinozaPazTV\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/HDMakrLAGw\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb5:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\x96\xf0\x9d\x97\x97\xf0\x9d\x97\xa0\xf0\x9d\x97\xab / \xf0\x9d\x97\x95\xf0\x9d\x97\xa2\xf0\x9d\x97\x9a\xf0\x9d\x97\xa2\xf0\x9d\x97\xa7\xc3\x81\n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb4:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\xa0\xf0\x9d\x97\x94\xf0\x9d\x97\xad\xf0\x9d\x97\x94\xf0\x9d\x97\xa7\xf0\x9d\x97\x9f\xc3\x81\xf0\x9d\x97\xa1 \n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb3:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\x9f\xf0\x9d\x97\x94'
1497334112838897667,2022-02-25 22:14:06+00:00,b'La esperanza nunca morir\xc3\xa1 \xe2\x9d\xa4\xef\xb8\x8f'
1494817561329876996,2022-02-18 23:34:13+00:00,b'#SiempreMeTendras \xe2\x9d\xa4\xef\xb8\x8f https://t.co/FpfBiut520'
1494743706930348034,2022-02-18 18:40:45+00:00,b'Esperando una se\xc3\xb1al'
1494734590115647490,2022-02-18 18:04:31+00:00,b'Se que me extra\xc3\xb1aras \xe2\x9d\xa4\xef\xb8\x8f\nNo importa el tiempo \xe2\x80\xa6'
1494109556443594754,2022-02-17 00:40:52+00:00,b'#HombreNormal https://t.co/xdPWCrefTb'
1493693870957342726,2022-02-15 21:09:04+00:00,b'#UnaUltimaVez esc\xc3\xbachala por Spotify  \n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\nhttps://t.co/Vz9veJWv9k https://t.co/Bxv9CRipsA'
1493454585209532419,2022-02-15 05:18:14+00:00,b'#SiempreMeTendras https://t.co/ab3miFKjZ2'
1493354362009100288,2022-02-14 22:39:59+00:00,b'\xc2\xbfQuieres intentarlo una \xc3\xbaltima vez?\n\n#UnaUltimaVez #QueTeDuelaMasQueAMiVol3 https://t.co/ZaTAo4GFE5'
1492288256880353280,2022-02-12 00:03:40+00:00,"b'Eso de vivir sin ti me est\xc3\xa1 gustando, ya pobre la libertad un mes entero \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb5 \nVideo de #UnaUltimaVez por mi canal de @YouTube  #EspinozaPazTV \n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb https://t.co/SVGSEA9kpw\n\n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb5:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\x96\xf0\x9d\x97\x97\xf0\x9d\x97\xa0\xf0\x9d\x97\xab / \xf0\x9d\x97\x95\xf0\x9d\x97\xa2\xf0\x9d\x97\x9a\xf0\x9d\x97\xa2\xf0\x9d\x97\xa7\xc3\x81\n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb4:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\xa0\xf0\x9d\x97\x94\xf0\x9d\x97\xad\xf0\x9d\x97\x94\xf0\x9d\x97\xa7\xf0\x9d\x97\x9f\xc3\x81\xf0\x9d\x97\xa1 \n\xf0\x9d\x9f\xac\xf0\x9d\x9f\xb3:\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xbd\xf0\x9d\x97\xba \xf0\x9d\x97\x9f\xf0\x9d\x97\x94'"
1492239778150035459,2022-02-11 20:51:02+00:00,b'Yo creo\nQue era el miedo a la soledad'
1491288306755444736,2022-02-09 05:50:13+00:00,b'https://t.co/BBIdYg6NtC'
1489784034305581056,2022-02-05 02:12:47+00:00,b'Hoy video de la canci\xc3\xb3n #PorSiempre por mi canal de @YouTube #EspinozaPazTV \n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\nhttps://t.co/EQJClzh1hA'
1489766552060661760,2022-02-05 01:03:19+00:00,b'#QueTeDuelaMasQueaMiVol3 https://t.co/VI7IF9rzQL'
1487447930457915399,2022-01-29 15:29:56+00:00,b'#ElError  \n\n#QueTeDuelaMasQueaMiVol3 https://t.co/qIahOlZVBB'
1487253183101607944,2022-01-29 02:36:05+00:00,"b'Siempre me vas a extra\xc3\xb1ar, no importa con quien est\xc3\xa9s\n#ElError por @YouTube  \n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\nhttps://t.co/EM1fNV9CgQ\n\n#EspinozaPaz #ElError #QueTeDuelaM\xc3\xa1sQueAM\xc3\xadVol3 #video'"
1485038367242952705,2022-01-22 23:55:12+00:00,b'#Compermiso #SemeSigueNotando DISPONIBLE por mi canal de #YouTube @YouTube https://t.co/cRoHPEEASC'
