twitter_id,date,tweet
1534303293383397377,2022-06-07 22:36:25+00:00,"b'Canadian Open, see you soon! @RBCCanadianOpen \nhttps://t.co/096yBrQa2C https://t.co/QVuGI4tHAJ'"
1522600874836594689,2022-05-06 15:35:11+00:00,"b""Thank you @porschecentreabudhabi for helping us support the Live Nation x Emirates Nature WWF Green Initiative. Headed to our sold out show tonight at @Etihadarena.ae, electric with Porsche Taycan's zero carbon emission cars @ews_wwf @livenation #greennation #greenentertainment https://t.co/6iETzTuLiX"""
1522278557661102081,2022-05-05 18:14:25+00:00,b'TEL AVIV \xe2\x80\xa2 HAYARKON PARK \xe2\x80\xa2 MAY 9th &amp; 10th \xf0\x9f\x92\xab SEE YOU SOON! \xf0\x9f\x94\x8a @TelAviv  @LiveNation https://t.co/enJiG222b1'
1521797589187936256,2022-05-04 10:23:13+00:00,"b""Partnering with Live Nation x Emirates Nature WWF Green Initiative, headed to our sold-out show in Abu Dhabi on @etihad 's new 25% more fuel efficient A350 aircraft. Looking forward to performing Friday night @etihadarena_ae! @ews_wwf #GreenEntertainment #greenconcerts #Etihad https://t.co/MNaDMrcf5g"""
1520832500137795584,2022-05-01 18:28:18+00:00,b'New record from our very own @PJMORTON! \xf0\x9f\x8e\xb5\n\nhttps://t.co/BTid3ifAWe'
1519014480767684609,2022-04-26 18:04:08+00:00,b'Want presale access for our new 2022 World Tour dates? Join the Maroon 5 S.I.N. Fan Club for instant presale access and other perks!\n\nhttps://t.co/Cul14g5msa https://t.co/K5vJnX7kmv'
1516099306742169601,2022-04-18 17:00:17+00:00,b'Tickets to Maroon 5 at the @UniversalORL #MusicAfterDark are on sale now! \xe2\x9c\xa8 https://t.co/vwfZraXDnl'
1513591828510957570,2022-04-11 18:56:27+00:00,b'Join us August 26th inside Universal Studios Orlando! \xf0\x9f\x92\xab https://t.co/vwfZraXDnl https://t.co/aNR3dywPjH'
1511777879620677632,2022-04-06 18:48:28+00:00,"b'RT @nacaodamusica: Ontem rolou o show do @Maroon5 em S\xc3\xa3o Paulo (SP), diretamente do #AllianzParque.\n-\nFotos: @RafaelStrabelli / Na\xc3\xa7\xc3\xa3o da M\xc3\xba\xe2\x80\xa6'"
1511776381398446081,2022-04-06 18:42:31+00:00,b'RT @maroon5br: 45.500 pessoas lotaram o Allianz para ver o @maroon5 na noite de ontem \xf0\x9f\xa4\xa9 SOLD OUT'
1511775360131612672,2022-04-06 18:38:27+00:00,b'See you in July at @FestivalEteQc! \xf0\x9f\x92\xa5 Tickets are on sale now at https://t.co/YaVU2dIzoW #feq https://t.co/0GJF4ZK1vP'
1511168974842519559,2022-04-05 02:28:54+00:00,"b'\xe2\x80\x9cPayphone\xe2\x80\x9d has passed 1 billion streams on @Spotify  making it our 5th song in the #BILLIONSCLUB. THANK YOU, so much, for continuing to enjoy \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/gtDWDevrae'"
1511110314183442438,2022-04-04 22:35:48+00:00,"b'See you in June, Toronto! @RBCCanadianOpen \n\nTickets: https://t.co/jocPMebbrU https://t.co/z3BEBaMTXT'"
1510042639495696387,2022-04-01 23:53:15+00:00,"b'Listen to the new @adamlevine song ""Wings of Stone"" from the @netflix film ""The Bubble."" Produced by @thisiswatt and directed by @JuddApatow.  https://t.co/buErEUxNWh https://t.co/9S3UbrvIW1'"
1506754162528174080,2022-03-23 22:06:01+00:00,"b'RT @chartdata: .@maroon5 and @wizkhalifa\'s ""Payphone"" has now surpassed 1 billion streams on Spotify.'"
1504979117141217280,2022-03-19 00:32:37+00:00,"b""Pandora listeners, don\xe2\x80\x99t miss Beautiful Mistakes featured this week on the 00's, 10's, Today's Hits station! \xf0\x9f\x8e\xb5\xf0\x9f\x8e\x89 @pandoramusic https://t.co/DK5cxbFzAM"""
1501632857441140739,2022-03-09 18:55:46+00:00,b'RT @Nickelodeon: KCA Favorite Music Group\n- @maroon5 \n- @jonasbrothers \n- @bep \n- @FLAGALine \n- @bts_bighit \n- @Migos \n\nCast your votes at\xe2\x80\xa6'
1501632844421951491,2022-03-09 18:55:43+00:00,b'RT @Nickelodeon: KCA Favorite Music Collab\n- @thekidlaroi @justinbieber \n- @maroon5 @theestallion \n- @lizzo @iamcardib \n- @marshmellomusic\xe2\x80\xa6'
1497267513100365826,2022-02-25 17:49:27+00:00,b'Egypt. LIVE AT THE PYRAMIDS OF GIZA. May 3. On sale now. \xf0\x9f\x99\x8c \nhttps://t.co/BjdEDPZVW8 https://t.co/cn9j62wPRw'
1497257052342607874,2022-02-25 17:07:53+00:00,b'Abu Dhabi. May 6. On sale now! \xf0\x9f\x9a\xa8 https://t.co/n2ClQISBcY https://t.co/ECjvJC8UHP'
