twitter_id,date,tweet
1546591759836229632,2022-07-11 20:26:24+00:00,"b'What it all about!  Getting clips,  thank you guys for helping this one go down\xe2\x9d\xa4\xef\xb8\x8f https://t.co/lINzIBdGYw'"
1546221032326848513,2022-07-10 19:53:16+00:00,"b""Congrats to  this year's #RedBullSolus Men\xe2\x80\x99s champion @Dashawndjordan ! Rad to see people ripping in the park I skate all the time! \n\nRewatch all the entries on the Red Bull S\xc5\x8dlus YouTube playlist. \xf0\x9f\x93\xba\n#skate #skateboarding #SandlotTimes \n @redbullskate @redbull @SandlotTimes https://t.co/lVnyXwzP48"""
1546220156484853760,2022-07-10 19:49:47+00:00,"b""Congrats to  this year's #RedBullSolus Women\xe2\x80\x99s champion @MargielynDidal ! I can\xe2\x80\x99t wait for next year! \n\nRewatch all the entries on the Red Bull S\xc5\x8dlus YouTube playlist. \xf0\x9f\x93\xba\n#skate #skateboarding #SandlotTimes #redbullsolus\n @redbullskate @redbull @SandlotTimes https://t.co/20yIO0Pxir"""
1545150667081129984,2022-07-07 21:00:01+00:00,b'#TBT Fatty to flatty https://t.co/5HL6rVt9rV'
1544749845948157952,2022-07-06 18:27:17+00:00,"b""Only available at camp this summer! Score one while you can!  See you on our #SandlotTimesXWoodwardTour ! We're back on the road July 19th, so look for our tour bus driving across the country. @SandlotTimes X #WoodwardSkateboarding  #LimitedEditionSkateboards #MadeInTheUSA https://t.co/UePfpaslLy"""
1542980259934392320,2022-07-01 21:15:35+00:00,b'Working on my pop at @WoodwardTahoe ! I had a great time on stop #2 of our #SandlotTimesXWoodwardTour !\n\n#ChangeTheNarrative\n#SandlotTimesSkateboards\n#WeLiveThis\n#WoodwardCamp \n#Tahoe @WoodwardCamp https://t.co/qRDpRXhB3S'
1542965270339133442,2022-07-01 20:16:02+00:00,"b""I'm stoked to follow my dream of starting @SandlotTimes Skateboards! Made in the USA  https://t.co/EXQjN55bAn https://t.co/fdAB78f8MW"""
1542958328854155264,2022-07-01 19:48:27+00:00,b'Throwback to 2016 with the homies #AndrewHale &amp; @MrBojanglesFilm https://t.co/c77isGImSG'
1542633176832520192,2022-06-30 22:16:24+00:00,b'Stoked to have my own skateboard company @SandlotTimes ! I\xe2\x80\x99m hooking everyone up with 25% off! Use code JULY4TH until Monday at midnight. https://t.co/EXQjN55bAn\n\n#SandlotTimesSkateboards #SandlotTimes #ChangeTheNarrative \n#MadeInTheUSA #MaidenVoyage #Warrior #Psychd https://t.co/CyvppDa8Lu'
1541879286583283712,2022-06-28 20:20:43+00:00,b'This park was fun!  Skateboarding has been so fun on our #SandlotTimesXWoodwardTour !  Stoked to skate with the #projectlifelong crew and Sacramento locals. @SandlotTimes @SheckFoundation @WoodwardCamp \n#ChangeTheNarrative\n#WeLiveThis \n#SandlotTimes \n#Woodward \n#GraniteSkatepark https://t.co/70RVYSkKyI'
1541564385310584833,2022-06-27 23:29:24+00:00,"b'My @SandlotTimes X @WoodwardCamp boards are ONLY available at @woodwardwest , @WoodwardTahoe @woodwardpc @WoodwardCopper &amp; Woodward PA! Be sure to pick one up when you\xe2\x80\x99re at camp! See on on tour! https://t.co/QomVB3cWWV'"
1541564108612329472,2022-06-27 23:28:19+00:00,b'Fun with the crew at @woodwardwest on Stop 1 of our #SandlotTimesXWoodwardTour !        \n\n@SandlotTimes #woodwardskateboarding @CustodioPhoto @Mannyslaysall @fabriziosantos @DavidReyes303 @MrBojanglesFilm @kotnworld \n#ChangeTheNarrative\n#WeLiveThis\n#CampWoodward\n#WoodwardWest https://t.co/rDba2QHf08'
1541470111222992896,2022-06-27 17:14:48+00:00,b'Yesterdays crew!  Thanks for the help gents! https://t.co/7kPIXkPbwT'
1540093695801798657,2022-06-23 22:05:25+00:00,b'Once again #RedBullSolus was hard! \xf0\x9f\x93\xb8 @ZorahOlivia \n\n@redbullskate @redbull https://t.co/TDK22ZtbA9'
1538919628646166528,2022-06-20 16:20:05+00:00,b'Happy go SKATEBOARDING day\xe2\x80\xa6 a day early\xf0\x9f\x98\x82 everyday is go skateboarding day\xf0\x9f\x8e\xa5 @CustodioPhoto @SandlotTimes https://t.co/EdvD9jbLOg'
