twitter_id,date,tweet
1546602479340720128,2022-07-11 21:09:00+00:00,b'Join Team Oz! https://t.co/rnHanEfonp'
1546543591698448388,2022-07-11 17:15:00+00:00,"b'When the most extreme liberals endorse John Fetterman, it tells you everything you need to know about what kind of senator he would be.'"
1546513438347771905,2022-07-11 15:15:11+00:00,"b""Joe Biden has refused to take our border crisis seriously. This is UNACCEPTABLE. It's time to secure the border."""
1546255191124606977,2022-07-10 22:09:00+00:00,"b'Crime is rising in major cities across the country, including Philadelphia. We need to support and empower law enforcement to do their jobs and PROTECT our communities.'"
1546220462107045888,2022-07-10 19:51:00+00:00,b'Join Team Oz today. https://t.co/rnHanEwZeX'
1546178183996784641,2022-07-10 17:03:00+00:00,"b'I believe that We The People are empowered to change our lives for the better. As your Senator, I will make changes in Washington that HELP instead of HINDER the people!'"
1546131026929455105,2022-07-10 13:55:37+00:00,"b'Seriously? \xe2\x80\x9cWorse than almost anyone expected\xe2\x80\x9d\n\nWashington got it wrong. Government bureaucrats imposed draconian lockdowns, dismissed common sense, and canceled dissenting voices. As a result, they harmed our children. We need new leadership in Washington. https://t.co/QU0LBPKZiW'"
1545944234674556929,2022-07-10 01:33:22+00:00,b'Happy 50th anniversary to the Southampton Community Days! Thanks to all the organizers and volunteers who made the fair such a blast! https://t.co/9qDlWmNVxm'
1545771001002205184,2022-07-09 14:05:00+00:00,"b'Biden\xe2\x80\x99s reckless spending has left millions of Americans in a financial crisis, and he has refused to pick up the pieces for months.'"
1545519594181476355,2022-07-08 21:26:00+00:00,"b'Our failing economy, crime-ridden streets, and our energy crisis make it clear that America needs a change in leadership.'"
1545456176321765378,2022-07-08 17:14:00+00:00,b'FRIDAY FACTS: John Fetterman is a Bernie Sanders Socialist who will follow the SQUAD. He is NOT the right man to lead Pennsylvania.'
1545404524717899778,2022-07-08 13:48:45+00:00,b'Many of the businesses I visit daily would be decimated by John Fettetman\xe2\x80\x99s radical policies. https://t.co/ryTn8wwMUg'
1545171647770099715,2022-07-07 22:23:23+00:00,b'A BIG thank you to the folks at the Big Butler Fair. It was a great afternoon talking with attendees about their ideas to turn our country around with PA leading the way! https://t.co/MoxOyFcRp5'
1545170544059891714,2022-07-07 22:19:00+00:00,"b'Want to fix the economy, Biden? Deal with the energy crisis at hand. https://t.co/JD3AnNrant'"
1545133298602721283,2022-07-07 19:51:00+00:00,"b""Teachers' union leadership has been more focused on being woke instead of what should be their main priority: educating America's children. \n\nA mother is a mother, not a birthing parent, to state the painfully obvious.\n\nhttps://t.co/EzP2f3LCRt"""
1545080079985917954,2022-07-07 16:19:31+00:00,b'https://t.co/IDYiToA6NG https://t.co/TRaWkXpOQE'
1545069670071504899,2022-07-07 15:38:10+00:00,"b'I have long said that Washington needs a dose of reality to get things right. We need leaders who will stand up to the establishment and bring commonwealth commonsense to the table in our nation\xe2\x80\x99s capital, I will do just that.'"
1544831956424204289,2022-07-06 23:53:34+00:00,b'Classic career politician: rules for thee but not for me. https://t.co/cktJ67fe2o'
1544805137318912006,2022-07-06 22:07:00+00:00,"b'$87.21 at the gas pump today. Thanks, Mr. President.'"
1544777313761591296,2022-07-06 20:16:26+00:00,"b'Being on the campaign trail is about listening and learning about what Pennsylvanians want and need. Right now, I am hearing that families are struggling with the inflation crisis. Joe Biden needs to step up and get this under control. https://t.co/szIdtrZGWj'"
1544742158741213185,2022-07-06 17:56:45+00:00,"b""I will say it again and again. We have all the energy resources we need right here in Pennsylvania. It's time we start taking advantage of them. https://t.co/YKtfYojE0R"""
1544699691538866176,2022-07-06 15:08:00+00:00,"b'The high cost of living is unacceptable and an assault on Americans. Wake up, Mr. President.'"
1544680362315497472,2022-07-06 13:51:11+00:00,"b'As Pennsylvania\xe2\x80\x99s next Senator, I will always fight for Pennsylvania\xe2\x80\x99s small businesses &amp; working families.'"
1544449795053555714,2022-07-05 22:35:00+00:00,"b'Ladder-climbing politicians are NOT the solution to our problems, Pennsylvania. To them, it\xe2\x80\x99s about power and control. To me, it\xe2\x80\x99s about finding solutions and putting PA first.'"
1544424872247427073,2022-07-05 20:55:58+00:00,"b""It's clear Mayor Kenney has given up on Philadelphia, and he should resign. The soft on crime policies people like he and John Fetterman are pushing have led to record-breaking homicide and violent crime rates."""
1544374930975981575,2022-07-05 17:37:31+00:00,b'AOC and Elizabeth Warren want John Fetterman to join their squad in DC. Another rubber stamp for their reckless policies that got us into this inflation crisis.'
1544334070112555011,2022-07-05 14:55:09+00:00,b'Fourth of July weekend made it even more clear how absurd prices are right now. We need leaders who will find solutions to the burdens Americans are carrying - not make the problem worse. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'
1544101202035621888,2022-07-04 23:29:49+00:00,b'Bravery is what makes America special. https://t.co/o15rYjoUUP'
1544083405327015936,2022-07-04 22:19:06+00:00,"b'America is the greatest country in the world. We are the land of the free, home of the brave, and that shining city on the hill. Happy Independence Day \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'"
1543995370451124226,2022-07-04 16:29:17+00:00,"b""As we celebrate the Fourth of July, take a moment to pause and consider the many freedoms we are afforded in our great country. Freedom doesn't come free."""
1543948226503532545,2022-07-04 13:21:57+00:00,b'Happy Independence Day! God bless America! https://t.co/ENugdpa3GB'
1543742230124527616,2022-07-03 23:43:23+00:00,b'Bravery is what makes America special. And we can only be free if we are brave \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'
1543708770584465409,2022-07-03 21:30:26+00:00,b'I\xe2\x80\x99ve listened and learned from so many of you on the campaign trail and what you\xe2\x80\x99ve shared with me is that when it comes to the issues that matter most to you \xe2\x80\x93 our leaders in Washington have failed. America needs a dose of reality and I will do just that. #PASen'
1543640159534694404,2022-07-03 16:57:48+00:00,"b'If we lose Pennsylvania, we lose America.'"
1543331677224796161,2022-07-02 20:32:00+00:00,"b'Pennsylvanians want representatives who will support law enforcement and support community safety. I will always back the blue, fund the police, and fight for the safety of our communities!'"
1543296948442001408,2022-07-02 18:14:00+00:00,"b'This week, John Fetterman has been backed by AOC and Elizabeth Warren \xe2\x80\x93 two radical-left politicians proposing spending so much more government money that it could break a calculator. \nFetterman is showing who he is by who he\xe2\x80\x99s associated himself with \xe2\x80\x93 wrong for Pennsylvania.'"
1543255674146136065,2022-07-02 15:29:59+00:00,"b'Through increased regulation and a declining economy, Joe Biden is making it harder for small businesses to succeed than ever. We need to SUPPORT small businesses in Pennsylvania!'"
1542999991731556353,2022-07-01 22:34:00+00:00,b'Joe Biden is continuing to ignore the needs of the American energy industry and our economy. We need leadership in Washington that will create solutions instead of adopting complacency.'
1542938335395696640,2022-07-01 18:29:00+00:00,b'Elizabeth Warren supports John Fetterman so they can abolish the filibuster &amp; ram through their far-left policies.\n\nThey want to raise taxes &amp; \xe2\xac\x86\xef\xb8\x8f spending. I think we should support small businesses &amp; keep costs low for PA families.\n\nPA deserves better than far-left extremists.'
1542926005106614277,2022-07-01 17:40:00+00:00,"b'As you head to the grocery store to buy your July 4th shopping list take a look at the costs. This is a direct result of Joe Biden\xe2\x80\x99s inflation crisis, and it is an assault on all Americans. https://t.co/Yenr4BNLCV'"
1542872942786347012,2022-07-01 14:09:09+00:00,"b'Don\'t believe that rising gas prices are a result of Biden\'s bad leadership? Well, his Director of National Economic Council will set the record straight for you. He calls it, ""the future of the liberal world order.\xe2\x80\x9d https://t.co/w1P8KJGQpd'"
1542860824825344000,2022-07-01 13:21:00+00:00,"b'FRIDAY FACT: John Fetterman is wrong for Pennsylvania. He is an undeniably Socialist Democrat that supported AOC, Elizabeth Warren, and Bernie Sanders.'"
1542606650636238849,2022-06-30 20:31:00+00:00,"b""AOC says she wants John Fetterman in the Senate.\n\nYou know what else AOC wants? Her \xe2\x80\x9cGreen New Deal\xe2\x80\x9d lie which would cost PA families $60k a year &amp; drive up federal spending by $93 trillion in just a decade.\n\nNot on my watch. John Fetterman &amp; his new friends aren't right for PA."""
