twitter_id,date,tweet
1545906140629766145,2022-07-09 23:02:00+00:00,"b'RT @rosmeryz5: Y como dijo @NoelSchajris ""Somos el resultado de todos los eventos que vivimos"" \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb grande!'"
1545906005812207617,2022-07-09 23:01:27+00:00,"b'RT @JesicaGarcia21: Viendo #LaVozPeru y encantada con @NoelSchajris que bonita vibra transmite, mucha calidez, carisma y  buena onda. Felic\xe2\x80\xa6'"
1545905870873038851,2022-07-09 23:00:55+00:00,b'RT @dioneila_abreu: Hoy a las 7pm podr\xc3\xa1s disfrutar en @EspecialconLy en Exclusiva una entrevista realizada por @LyJonaitis al compositor y\xe2\x80\xa6'
1545905826023387136,2022-07-09 23:00:45+00:00,b'De acuerdo ? \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/ghh6UYVYQP'
1545519399209148416,2022-07-08 21:25:13+00:00,b'\xe2\x80\x9cLA ATENCI\xc3\x93N ES TAL VEZ EL RECURSO QUE M\xc3\x81S ESCASEA.. La claridad es m\xc3\xa1s necesaria que nunca en estos tiempos de tanta distracci\xc3\xb3n \xe2\x80\x9c'
1545518919892586496,2022-07-08 21:23:19+00:00,b'\xe2\x80\x9cLa censura hoy en d\xc3\xada funciona con la distracci\xc3\xb3n que genera la avalancha de desinformaci\xc3\xb3n e informaci\xc3\xb3n a la que estamos expuestos \xe2\x80\x9c \n\nAcabo de escuchar eso y me pareci\xc3\xb3 bueno compartirlo \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f'
1545518579101171712,2022-07-08 21:21:58+00:00,"b'RT @Germaly: Siento mucho m\xc3\xa1s admiraci\xc3\xb3n por @NoelSchajris al ver c\xc3\xb3mo aconseja, consuela y motiva a cada participante de la voz Per\xc3\xba'"
1545518442643701762,2022-07-08 21:21:25+00:00,b'RT @Trizia7camilada: Veo lo que @NoelSchajris retuitea de su participaci\xc3\xb3n en La Voz \xf0\x9f\x87\xb5\xf0\x9f\x87\xaa y confirmo que Lo Amooooo \xf0\x9f\x92\x9c'
1545518358883450880,2022-07-08 21:21:05+00:00,"b'RT @ChrisOlide: Oye, .@LaVozTvAzteca cuando @NoelSchajris de coach?'"
1545518285990625282,2022-07-08 21:20:48+00:00,b'RT @WaleArias: Mi beby Gregory est\xc3\xa1 en la Voz Per\xc3\xba y estoy s\xc3\xbaper feliz porque lo merece un mont\xc3\xb3n!  @NoelSchajris \xe2\x9d\xa4\xef\xb8\x8f. \n\n\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/X\xe2\x80\xa6'
1545518258966740999,2022-07-08 21:20:41+00:00,"b'RT @LeandraNicole99: Lo mejor de la voz Per\xc3\xba es que tienen a @NoelSchajris como entrenador, 0 dudassss'"
1545169057338589184,2022-07-07 22:13:05+00:00,"b'RT @scarfake7: El ""Entra en mi vida"" versi\xc3\xb3n cumbia no exis.....\n#sinbandera #grupo5 @NoelSchajris @Grupo5Christian @DanielaDarcourt @evaay\xe2\x80\xa6'"
1545168919241150465,2022-07-07 22:12:32+00:00,b'RT @alvarezluisitoo: @NoelSchajris #LaVozPer\xc3\xba @lavozpeoficial https://t.co/XvI8JcG3vH'
1544822470061998081,2022-07-06 23:15:52+00:00,b'RT @moon_beliefs: @NoelSchajris TEAMO #LaVozPeru #LaVoz https://t.co/x0Uw8KPLEd'
1544822403385229313,2022-07-06 23:15:37+00:00,"b'RT @amigoperu76: Sin duda ser\xc3\xa1 una de las mejores temporadas de #LaVozPeru con el maestro @NoelSchajris. M\xc3\xbasica, emociones y historias que\xe2\x80\xa6'"
1544822213425205258,2022-07-06 23:14:51+00:00,b'Que emoci\xc3\xb3n cantarles en ac\xc3\xbastico ..\nYa falta poquito .. \nUna alegr\xc3\xada compartir con mi hermano @jesusmolinamusic una noche con todas las canciones que ustedes quieren escuchar\n\n\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\xf0\x9f\x8e\x89\n\nBoletos \xf0\x9f\x8e\xab aqu\xc3\xad \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n\nhttps://t.co/AVzAFIhiMA https://t.co/ErM4sMNExx'
1541504437226577920,2022-06-27 19:31:12+00:00,"b'RT @hardbeatsper: \xf0\x9d\x97\xa6\xf0\x9d\x97\xb2\xf0\x9d\x98\x80\xf0\x9d\x97\xb6\xf0\x9d\x97\xbc\xf0\x9d\x97\xbb\xf0\x9d\x97\xb2\xf0\x9d\x98\x80 \xf0\x9d\x97\x94\xf0\x9d\x97\xb0\xc3\xba\xf0\x9d\x98\x80\xf0\x9d\x98\x81\xf0\x9d\x97\xb6\xf0\x9d\x97\xb0\xf0\x9d\x97\xae\xf0\x9d\x98\x80 \xf0\x9d\x97\xb0\xf0\x9d\x97\xbc\xf0\x9d\x97\xbb @NoelSchajris \xf0\x9d\x98\x86 \xf0\x9d\x97\x9d\xf0\x9d\x97\xb2\xf0\x9d\x98\x80\xc3\xba\xf0\x9d\x98\x80 \xf0\x9d\x97\xa0\xf0\x9d\x97\xbc\xf0\x9d\x97\xb9\xf0\x9d\x97\xb6\xf0\x9d\x97\xbb\xf0\x9d\x97\xae, \xf0\x9d\x9f\xae\xf0\x9d\x9f\xad \xf0\x9d\x97\xb1\xf0\x9d\x97\xb2 \xf0\x9d\x97\x9d\xf0\x9d\x98\x82\xf0\x9d\x97\xb9\xf0\x9d\x97\xb6\xf0\x9d\x97\xbc \xf0\x9d\x97\xa7\xf0\x9d\x97\xb2\xf0\x9d\x97\xae\xf0\x9d\x98\x81\xf0\x9d\x97\xbf\xf0\x9d\x97\xbc \xf0\x9d\x97\x96\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xbc\xf0\x9d\x98\x82\xf0\x9d\x98\x81. \xf0\x9d\x97\x96\xf0\x9d\x97\xbc\xf0\x9d\x97\xba\xf0\x9d\x97\xbd\xf0\x9d\x97\xbf\xf0\x9d\x97\xae \xf0\x9d\x98\x81\xf0\x9d\x98\x82\xf0\x9d\x98\x80 \xf0\x9d\x97\xb2\xf0\x9d\x97\xbb\xf0\x9d\x98\x81\xf0\x9d\x97\xbf\xf0\x9d\x97\xae\xf0\x9d\x97\xb1\xf0\x9d\x97\xae\xf0\x9d\x98\x80 \xf0\x9d\x97\xb2\xf0\x9d\x97\xbb @EntradaYa_ #Sesio\xe2\x80\xa6'"
1541504297241681926,2022-06-27 19:30:38+00:00,b'Gracias LA !!!!!! https://t.co/wqb7RW0Xh7'
1541504276878397440,2022-06-27 19:30:34+00:00,"b'RT @aldy207: Sos mucho de tanto \xe2\x81\xa6@NoelSchajris\xe2\x81\xa9 . Humilde, talento, divertido!\xf0\x9f\xa5\xb9\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xe2\x9d\xa4\xef\xb8\x8f https://t.co/OBYDF9ljTv'"
1541504228710965249,2022-06-27 19:30:22+00:00,b'RT @cali939: Una fan\xc3\xa1tica se tat\xc3\xbaa la cara de @sinbandera @NoelSchajris y #LaValeShow lo captura TODO \xf0\x9f\xa4\xa9\xf0\x9f\x98\xb1\xf0\x9f\x98\xb3 https://t.co/FEI9ziUy5A'
1541504063283417090,2022-06-27 19:29:43+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x89\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc 70 shows .. gran aventura juntos .. ayer terminamos un ciclo bello  con @4_latidos .. se vienen mas sesiones ac\xc3\xbasticas  como solista y la nueva gira de @sinbandera #feecuenciatour https://t.co/wAvyfAvzXn'
1538765233866436608,2022-06-20 06:06:35+00:00,b'RT @telebunker_: Sin Banderas rompiendo tarimas #Telebunker @NoelSchajris @LeonelGOficial https://t.co/Z6YZlC10bs'
1538765000981958657,2022-06-20 06:05:39+00:00,b'LIMA !! Tenemos una cita !!! Que alegr\xc3\xada llevarles mis #sesuonesacusticas \nGracias \xf0\x9f\x87\xb5\xf0\x9f\x87\xaa!!!!!!!\n\nEntradas \xf0\x9f\x8e\xab aqu\xc3\xad \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n\nhttps://t.co/AVzAFIyTE8 https://t.co/qy4L0b64Kh'
1537885653722988546,2022-06-17 19:51:27+00:00,b'RT @xchunksx: Vamos! @thekiaforum @CityofInglewood no se lo pierdan! Compren sus boletos a trav\xc3\xa9s de @Ticketmaster ! \xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb6 @sinbandera @NoelSc\xe2\x80\xa6'
