twitter_id,date,tweet
1538923317133987844,2022-06-20 16:34:45+00:00,b'Just posted a photo https://t.co/9vsdRWP3xe'
1522141475731120129,2022-05-05 09:09:42+00:00,"b'Neste Dias das M\xc3\xa3es, mostre o seu apoio \xc3\xa0 prote\xc3\xa7\xc3\xa3o de mulheres refugiadas ao redor do mundo! #EcoeEssasVozes https://t.co/QPwPeC2IBs'"
1521072088391598080,2022-05-02 10:20:20+00:00,"b'Ou\xc3\xa7a a hist\xc3\xb3ria de Farishta, mulher afeg\xc3\xa3, e compartilhe com a hashtag #EcoeEssasVozes, do @acnurbrasil. Saiba mais: https://t.co/nXk6xBBYmu https://t.co/n3W1jxci5D'"
1521071692755390464,2022-05-02 10:18:46+00:00,b'Voc\xc3\xaa pararia um minuto do seu dia para ouvir hist\xc3\xb3rias reais de mulheres refugiadas? Junte-se a mim e ao @acnurbrasil! #EcoeEssasVozes https://t.co/Jrqcd09dxN'
1518768443830452225,2022-04-26 01:46:29+00:00,b'https://t.co/jLDVZYv91M'
1509884296537985033,2022-04-01 13:24:03+00:00,"b'Mude o modo que voc\xc3\xaa olha para as coisas, e as coisas que voc\xc3\xaa olha mudar\xc3\xa3o.\nSextou \xe2\x80\xa6 mas a realidade aqui n\xc3\xa3o \xc3\xa9 sol e biquini, ta bem longe disso. S\xc3\xb3 aproveitando mesmo o 1 de abril pra fantasiar. \xf0\x9f\x98\x9d https://t.co/4uJlNJgvZ6'"
1504434725846458368,2022-03-17 12:29:24+00:00,b'https://t.co/SuB33IBzJ4'
1502794753255030786,2022-03-12 23:52:44+00:00,b'https://t.co/ekxM7wHcy9'
1494295652452511751,2022-02-17 13:00:20+00:00,b'https://t.co/sMb3iC5ggy'
1448209876891705348,2021-10-13 08:51:55+00:00,b'Just posted a photo https://t.co/lQJz3W2XXs'
1423089323050618880,2021-08-05 01:11:48+00:00,b'Acabou de publicar uma foto https://t.co/digyUXIV4N'
1422862679421726720,2021-08-04 10:11:12+00:00,b'Acabou de publicar uma foto https://t.co/IcVT7QSsOu'
1421449850311348226,2021-07-31 12:37:08+00:00,b'Just posted a photo https://t.co/zZoxaaHmd9'
1420134009586204674,2021-07-27 21:28:27+00:00,b'@jnascim @KanoaIgarashi @gabriel1medina Medina foi roubado descaradamente \xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab'
1414536370463379457,2021-07-12 10:45:26+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/psHzg0xZpp'
1407748045928816643,2021-06-23 17:11:03+00:00,"b'Mi Casa, Tu Casa. Minha Casa, Sua Casa.  https://t.co/7z1wl7m1UY https://t.co/7z1wl7m1UY'"
1406318637892489218,2021-06-19 18:31:06+00:00,"b'Mi Casa, Tu Casa. Minha Casa, Sua Casa.  https://t.co/7z1wl7m1UY https://t.co/7z1wl7m1UY'"
1400911977229213701,2021-06-04 20:26:57+00:00,b'Just posted a video https://t.co/D1Z5rHtXBy'
1399314314364952580,2021-05-31 10:38:25+00:00,b'Just posted a photo @ Cliffside - Guest House &amp; Experiences https://t.co/pamTHKWPrS'
