twitter_id,date,tweet
1546504454748352514,2022-07-11 14:39:29+00:00,b'@KyleBrandt You are the best. So sweet'
1546204392444944384,2022-07-10 18:47:08+00:00,b'Love her! Congrats @lindacohn https://t.co/mJNjunCMfo'
1546204095496654850,2022-07-10 18:45:58+00:00,b'@BradGee Best ever! The Christmas episode. Hate it\xe2\x80\x99s ending after this season.'
1545483937475993600,2022-07-08 19:04:19+00:00,b'Its the game show that\xe2\x80\x99s sweeping the nation! And Canada! @calmdownpodcast https://t.co/5uEGdcAKX3'
1545202675821580288,2022-07-08 00:26:41+00:00,b'@JOHNR0SASC0 @mstlouis_26 He should run for office.'
1545185128955215872,2022-07-07 23:16:57+00:00,b'Love every minute of this for @mstlouis_26!!!'
1545183899902529536,2022-07-07 23:12:04+00:00,b'Congrats @ReneePaquette!! Love this story! @calmdownpodcast https://t.co/RfvcgffrKv'
1545164823448604672,2022-07-07 21:56:16+00:00,b'@JBHuskers @PatMcAfeeShow Love that show'
1545060031409766400,2022-07-07 14:59:51+00:00,b'@CZOctober25 @ReneePaquette @calmdownpodcast I feel like that\xe2\x80\x99s where all the crap that I don\xe2\x80\x99t need is'
1544869366734282752,2022-07-07 02:22:13+00:00,b'@ReneePaquette \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f ok come pick me up and let\xe2\x80\x99s go!!!'
1544861414359126023,2022-07-07 01:50:37+00:00,b'I only hate being in a grocery store b/c I have zero clue what to get. @ReneePaquette breaks it down with us @calmdownpodcast https://t.co/nUVx1MYs1R'
1544818730818883584,2022-07-06 23:01:01+00:00,b'Looking good @caitlynepes! It\xe2\x80\x99s going to be a fun year\xe2\x80\xa6.and we end it right there for the Super Bowl!! @WEARbyEA https://t.co/Cjtr0hbRfw'
1544501467666468867,2022-07-06 02:00:19+00:00,b'@ClayTravis Ha ha'
1544484893488730113,2022-07-06 00:54:28+00:00,b'Thx!!! We love her @ReneePaquette @calmdownpodcast https://t.co/LUTLPQsUIE'
1544470696432062465,2022-07-05 23:58:03+00:00,b'Loved our lastest episode w/ @ReneePaquette! You will see why here! @calmdownpodcast @CharissaT https://t.co/iYQcMLTIdx'
1543678471909494784,2022-07-03 19:30:02+00:00,b'@BlairDriscoll_ @danioftarth @WEARbyEA Girl you are looking good in @WEARbyEA! Thx for the help'
1543648112463400961,2022-07-03 17:29:24+00:00,b'Can\xe2\x80\x99t wait to show everyone what we\xe2\x80\x99ve been working on!! @WEARbyEA https://t.co/gTA4seBMFj'
1543616282582401024,2022-07-03 15:22:55+00:00,b'Tune in tonight at 7:30pm ET on FOX to watch the Birmingham Stallions and Philadelphia Stars make history! Cheering on my FOX Sports teammates. https://t.co/rNsYA3OChT'
1542519224165249026,2022-06-30 14:43:36+00:00,b'I had to speak the truth @JimmyTraina @CharissaT https://t.co/9u6MiLZIEg'
1542346982458437632,2022-06-30 03:19:10+00:00,b'@chrisfallica Some of the best memories Bear! Will cherish forever'
1542322181681532929,2022-06-30 01:40:37+00:00,b'Awww appreciate you reposting. I got pretty emotional last night seeing both of them! https://t.co/Ljc0qmcf5a'
1541790764325289984,2022-06-28 14:28:57+00:00,b'@choffman21 @Delta So frustrating. Don\xe2\x80\x99t schedule the flight'
1541790517884854273,2022-06-28 14:27:59+00:00,b'@SportsVanessa @CharissaT I mean how could you?'
1541787065976848385,2022-06-28 14:14:16+00:00,b'No need to CALM DOWN for this one. @CharissaT @calmdownpodcast https://t.co/iHc77PSl8d'
1541784522290757632,2022-06-28 14:04:09+00:00,"b'And FINALLY, the secret is out! Congrats @CharissaT! No one better for this spot! https://t.co/RocpLEqYNh'"
