twitter_id,date,tweet
1544611168777449472,2022-07-06 09:16:14+00:00,"b'RT @IndiaTodayNE: Chetan Bhagat congratulates the India Today group for launching the new digital venture, India Today NE, and is confident\xe2\x80\xa6'"
1544377246604935169,2022-07-05 17:46:43+00:00,b'@tgiprasanthr So sweet!'
1543107268748517376,2022-07-02 05:40:17+00:00,"b'Hi all,\n\n\xe2\x80\x9cFour years a soldier: Many of our young have no agni and aren\xe2\x80\x99t veer. Let\xe2\x80\x99s motivate them to be more than cellphone junkies,\xe2\x80\x9d my column in TOI today.\n\nDo read and share! https://t.co/2pUOccadfr'"
1542765686929272832,2022-07-01 07:02:57+00:00,b'Looking forward \xe2\x99\xa5\xef\xb8\x8f https://t.co/9mUskeQ1bx'
1542441381305524225,2022-06-30 09:34:17+00:00,b'\xe2\x99\xa5\xef\xb8\x8f https://t.co/rTL0Pi4vWF'
1539897327170617344,2022-06-23 09:05:07+00:00,"b'Watch me talk to some of the most interesting and inspiring people of India in a long, deep, heart to heart format that will change the way you think! Watch me in conversation with Ritesh Agarwal (Founder of OYO rooms)\nOnly on my YouTube channel. On Friday, 24th June,22 @12.30pm. https://t.co/H9D0YMUQhL'"
1538422570357096448,2022-06-19 07:24:57+00:00,b'RT @MajorAkhill: Brilliant article as always by Chetan Bhagat. One of the finest minds I have ever come across and he puts to use what most\xe2\x80\xa6'
1538389226772832257,2022-06-19 05:12:28+00:00,"b'Gm all,\n\xe2\x80\x9cBeware of the \xe2\x80\x98bad\xe2\x80\x99 social media influencer who polarizes to rise,\xe2\x80\x9d my column in TOI.\n\nDo read and share! https://t.co/Ha73UZCew6'"
1536602926147194880,2022-06-14 06:54:20+00:00,"b'To apply, fill the Google Form in the link given here: https://t.co/IKiin5p2SZ \nPlease note applications are open from 9th June,22 to 16th June,22 only. So do apply within that period to be considered. https://t.co/1FfIzTtkyn'"
1536594000857026560,2022-06-14 06:18:52+00:00,"b""In light of what's happening in the crypto world lately, here's a video of mine from my youtube channel. And it was done 10months ago.\n\nCrypto - be careful ! (Why it doesn't work for me as an investor) https://t.co/4pWFLlNzh8 via @YouTube"""
1536011011056017408,2022-06-12 15:42:17+00:00,"b'RT @bhash: On our customer day at the Ola Futurefactory on 19th June Sunday, would love to invite engineers who want to come &amp; see what we\xe2\x80\x99\xe2\x80\xa6'"
1534935750130556928,2022-06-09 16:29:35+00:00,"b'To apply, fill the Google Form in the link given here: https://t.co/otc5N4kTnC \nPlease note applications are open from 9th June,22 to 16th June,22 only. So do apply within that period to be considered. https://t.co/tm9G5n15OI'"
1533742362555404290,2022-06-06 09:27:29+00:00,b'@gchandra_cyou thank u!'
1533673591174094848,2022-06-06 04:54:13+00:00,"b'RT @Star_Of_Mysore: Keep dreams alive, says well-known author @chetan_bhagat in Mysuru.\nhttps://t.co/oYJgMpvf52'"
1533039597571264514,2022-06-04 10:54:57+00:00,"b'My column today. Do read. As in actually read the whole text before commenting. Would love feedback (from those who read the whole column, not just the heading and **outrageeee***) https://t.co/MibCF5lRRD'"
1532992961348132864,2022-06-04 07:49:38+00:00,"b'Hi all,\n\n\xe2\x80\x9cMosques + Temples = Mosples: Controversies like Gyanvapi can be avoided if Hindus and Muslims together celebrate their conjoined past,\xe2\x80\x9d my column in TOI.\n\nDo read and share! https://t.co/jWYfjWXfQ1'"
1532331961389391873,2022-06-02 12:03:03+00:00,b'Wow looks intriguing! All the best @ashwinsanghi ! https://t.co/xBkVK8xmXC'
1531976759280812032,2022-06-01 12:31:36+00:00,b'I knew this day is coming! \xf0\x9f\x99\x88 https://t.co/DMROujYah8'
1530961617738993666,2022-05-29 17:17:48+00:00,b'RT @vivekagnihotri: DeepTalk with Chetan Bhagat - ft. Vivek Agnihotri https://t.co/jCZYryDUZO'
1529720609046790144,2022-05-26 07:06:28+00:00,"b'Deeptalk is back! And in a totally new upgraded pro format. Bye bye Zoom. Hello face to face. Watch me talk to some of the most interesting and inspiring people of India! Next episode ft. @vivekagnihotri on my YouTube channel. releases  28th May, 12.30 pm. https://t.co/2Lof9Kthlr'"
1529276359805087744,2022-05-25 01:41:11+00:00,b'@AnupamPKher Congrats!'
1528261376157679616,2022-05-22 06:28:00+00:00,"b""Hi all,\n\n\xe2\x80\x9cLets move to 'one nation, two (maybe three) elections' system,\xe2\x80\x9d my column in TOI today. \n\nDo read and share! https://t.co/tTbrXiwR9v"""
