twitter_id,date,tweet
1545868508067676160,2022-07-09 20:32:27+00:00,b'@shakira \xe2\x9d\xa4\xef\xb8\x8f'
1538628795841794052,2022-06-19 21:04:25+00:00,b'Enhorabona @GironaFC \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1538593917981102080,2022-06-19 18:45:50+00:00,b'Enhorabona @BasquetGirona ets una m\xc3\xa0quina @MarcGasol \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c'
1538582801989218305,2022-06-19 18:01:40+00:00,b'Enhorabona @FCBhandbol \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\xaa'
1538211902123347969,2022-06-18 17:27:50+00:00,b'\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c @PerezdVargas'
1531265646490800128,2022-05-30 13:25:54+00:00,b'@apereira5 \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1529565721272930307,2022-05-25 20:51:00+00:00,b'Enhorabona @FCBfemeni una nova final. \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f \xf0\x9f\x92\xaa'
1529543295810011137,2022-05-25 19:21:53+00:00,b'Grande @liekemartens1 \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'
1529537828337635332,2022-05-25 19:00:10+00:00,b'Som-hi @FCBfemeni \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'
1528111009142956032,2022-05-21 20:30:30+00:00,b'Ara m\xc3\xa9s que mai Visca el Bar\xc3\xa7a! \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f @FCBfemeni https://t.co/jucdlg7aro'
1528058674836606976,2022-05-21 17:02:32+00:00,b'Som-hi noies. \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f @FCBfemeni'
1520812757641314305,2022-05-01 17:09:51+00:00,b'Enhorabona campions!!! @FCBfutbolsala \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f visca el Bar\xc3\xa7a!'
1520461315071959046,2022-04-30 17:53:20+00:00,"b'Enhorabona noies, una nova final. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f visca el Bar\xc3\xa7a @FCBfemeni \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f sou les millors.'"
1520432436840177666,2022-04-30 15:58:35+00:00,b'Som-hi @FCBfemeni \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'
1510717132107038727,2022-04-03 20:33:26+00:00,b'Siiiiiiii! @Pedri \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c golazo!'
1506389377928339461,2022-03-22 21:56:29+00:00,"b'Felicitats noies, sou molt grans. Ens veiem el dia 30 a l\xe2\x80\x99estadi. Visca el Bar\xc3\xa7a \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'"
1506385556724494346,2022-03-22 21:41:18+00:00,b'Siiiiii @claudiaapinaa \xf0\x9f\x92\xaavisca el Bar\xc3\xa7a'
1506378388436619268,2022-03-22 21:12:49+00:00,b'Gran @alexiaputellas \xf0\x9f\x98\x8d\xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'
1505664898319237120,2022-03-20 21:57:40+00:00,b'Gran vict\xc3\xb2ria! A seguir\xe2\x80\xa6 (ya veremos si pago la cena\xe2\x80\xa6) visca el Bar\xc3\xa7a \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f enhorabona companys!!!'
1504546857804087300,2022-03-17 19:54:58+00:00,b'RT @TheOlyverse: \xf0\x9f\x94\xa5Olyverse\xe2\x80\x99s VP &amp; Chief Stars Officer - @Carles5puyol\xf0\x9f\x94\xa5\n\n\xe2\x9a\xbd\xef\xb8\x8f Legendary football defender and iconic captain.\n\xf0\x9f\x9a\x80 One of the pro\xe2\x80\xa6'
1501673773778542602,2022-03-09 21:38:22+00:00,"b'@Benzema es un fen\xc3\xb3meno, tirando del carro\xe2\x80\xa6 \xf0\x9f\x94\x9d\xf0\x9f\x94\x9d\xf0\x9f\x94\x9d'"
1501667700019539972,2022-03-09 21:14:13+00:00,"b'Fuera de juego, pero la definici\xc3\xb3n es de otro nivel. \xf0\x9f\x94\x9d\xf0\x9f\x94\x9d'"
1501659908386787341,2022-03-09 20:43:16+00:00,b'Qu\xc3\xa9 jugador @KMbappe'
1496966198335991832,2022-02-24 21:52:08+00:00,"b'Bona nit, visca el Bar\xc3\xa7a \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'"
1496957750047350788,2022-02-24 21:18:34+00:00,"b'Cuando ficharon a Xavi, dije que ganar\xc3\xadamos la liga, me jugu\xc3\xa9 una cena, no se si la pagar\xc3\xa9, pero lo que tengo claro es que este equipo me gusta. Y estoy seguro que nos dar\xc3\xa1 alegr\xc3\xadas, m\xc3\xa1s pronto que tarde. \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'"
1496949585494908933,2022-02-24 20:46:07+00:00,b'Gran @3gerardpique \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c'
1495487594171351048,2022-02-20 19:56:41+00:00,b'Enhorabona \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f'
1495482697166245891,2022-02-20 19:37:14+00:00,b'Siiiiiiiiiiiii @FCBbasket sou els millors. Visca el Bar\xc3\xa7a \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8d enhorabona.'
