twitter_id,date,tweet
1545411815827554304,2022-07-08 14:17:43+00:00,b'The North American leg of my Back To Abnormal World Tour is in full effect! All dates are listed at https://t.co/L7bDKHUiXq - Can\xe2\x80\x99t wait to see you this summer \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 &amp; \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 \xf0\x9f\x95\xba\xf0\x9f\x8f\xbe#BackToAbnormalWorldTour \xf0\x9f\x8e\xb5@drake \xf0\x9f\x94\xa5 https://t.co/60kRXVV2wu'
1544550664696643586,2022-07-06 05:15:49+00:00,"b'RT @roastmalone_: due to the increase in gas prices a man hanging from the passenger side of his best friend\xe2\x80\x99s ride is no longer a scrub, h\xe2\x80\xa6'"
1541142256928825347,2022-06-26 19:32:01+00:00,b'Appreciate everyone that came out to the shows in Connecticut! Until next time! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe #BackToAbnormalTour'
1540791421807955968,2022-06-25 20:17:56+00:00,"b'Thank you again, to everyone that came out to the show last night! We will see you again tonight CT! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x98\x81#BackToAbnormalTour https://t.co/ilk4ywG5eI'"
1538760261703696385,2022-06-20 05:46:49+00:00,"b'RT @ianbremmer: us: left govt, high inflation \nuk: right govt, high inflation\ngermany: centrist govt, high inflation \nitaly: everyone in go\xe2\x80\xa6'"
1538600372666867715,2022-06-19 19:11:29+00:00,"b'Edmonton, Thank you to everyone that spent their Saturday night with me! Such an incredible weekend Canada!\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe Ottawa, Halifax, &amp; Toronto, I will see you in September! \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe#BackToAbnormalWorldTour \xf0\x9f\x8c\x8e \xf0\x9f\x8e\xb5: @MIKEFLOSSMUSIC \xf0\x9f\x93\xb7: @VinceAugust21 https://t.co/hsw0UZN32K'"
1538214245258649600,2022-06-18 17:37:09+00:00,"b'Calgary, thank you to everyone that filled the Saddledome with so much love last night! My friends @VinceAugust21, @JoshJohnson, &amp; I had an amazing time! TY. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe See you tonight Edmonton! \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6#BackToAbnormalWorldTour https://t.co/zTbeYWOG2y'"
1536869519897022465,2022-06-15 00:33:41+00:00,b'RT @ginnyhogan_: It\xe2\x80\x99s funny to me that they\xe2\x80\x99ve decided Americans are the only ones who might not realize they\xe2\x80\x99re foreigners https://t.co/xO\xe2\x80\xa6'
1536728105699639298,2022-06-14 15:11:46+00:00,b'RT @saddie_baddies: social media breaks will remind you that a lot of this shit doesn\xe2\x80\x99t even deserve a reaction all the time. conserve that\xe2\x80\xa6'
1536101397200084993,2022-06-12 21:41:27+00:00,b'If they\xe2\x80\x99re gonna fill our timeline with people who we don\xe2\x80\x99t follow then what\xe2\x80\x99s the point of following anyone? I see more \xe2\x80\x9csuggested posts\xe2\x80\x9d than posts I actually asked to see. \xf0\x9f\xa7\x90'
1532528302690226177,2022-06-03 01:03:15+00:00,b'Is everything made in a factory that also processes nuts?'
