twitter_id,date,tweet
1546600067875889152,2022-07-11 20:59:25+00:00,"b""RT @JasonD11: @rickygervais love how woke the new material is- great show and can't wait for #Armageddon"""
1546599859603603462,2022-07-11 20:58:35+00:00,"b""I'd like to report the entire audience who attended my #Armageddon warm up tonight for hate crimes. They laughed, and sometimes even clapped, at terrible things, in the name of 'comedy'. Disgusting. https://t.co/APLtRZIytP"""
1546598055268519941,2022-07-11 20:51:25+00:00,b'RT @MarraiNicola: Saw @rickygervais live for the first time! Simply amazing! #Armageddon'
1546597176293326849,2022-07-11 20:47:55+00:00,"b'RT @gemc1983: @rickygervais is it wierd that I cannot wait for #Armageddon \xf0\x9f\xa4\xa3 great night. You were, as always, brilliant!'"
1546588870552215558,2022-07-11 20:14:55+00:00,b'RT @FitzoMusic: @rickygervais #Armageddon incredible warm up show \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
1546588502699155457,2022-07-11 20:13:27+00:00,"b'RT @Tramps67: @rickygervais, the new material is brillant, Armageddon here we come!'"
1546588480951783424,2022-07-11 20:13:22+00:00,"b'RT @JWG92: @rickygervais #Armageddon warm up, absolutely brilliant! Tickets needed for the main show! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'"
1546586078827761664,2022-07-11 20:03:50+00:00,"b'RT @NewChannelMedia: @rickygervais New material, absolutely brilliant\xe2\x80\xa6'"
1546585885034123264,2022-07-11 20:03:03+00:00,b'RT @superhoops10: @rickygervais #Armegeddon - gets better every time'
1546531233378799617,2022-07-11 16:25:53+00:00,b'@Tommyryan89 7pm'
1546220393647771648,2022-07-10 19:50:43+00:00,"b'RT @rickygervais: Thanks to everyone who watched #SuperNature and laughed, and to everyone who watched it and complained. You all helped it\xe2\x80\xa6'"
1546220159748243456,2022-07-10 19:49:48+00:00,"b'RT @rickygervais: Thanks for your lovely tweets from around the world and for recommending #AfterLife to your friends. Mostly, thanks for s\xe2\x80\xa6'"
1546214698705899521,2022-07-10 19:28:06+00:00,b'RT @jdudemill: @rickygervais I just lost my partner of 17 years.  I\xe2\x80\x99ve  never seen this series.  Will watching the show break my heart or h\xe2\x80\xa6'
1546182500820590595,2022-07-10 17:20:09+00:00,b'@bouloufukinblu Weird'
1546166243245309952,2022-07-10 16:15:33+00:00,b'@jim73194352 \xf0\x9f\x98\x82'
1546150175713943554,2022-07-10 15:11:42+00:00,"b""I hope Prince William doesn't do a massive fart just as Kyrgios is about to serve."""
1546146490443354119,2022-07-10 14:57:03+00:00,"b'@tonypaulway Lots of swearing, sweating and tea breaks, I assume?'"
1546117251346096129,2022-07-10 13:00:52+00:00,"b'RT @JansFibroLife: @rickygervais My Dad died when I was 17 (story unto itself), so my Mom was my only parent my whole adult life. 10 years\xe2\x80\xa6'"
1546113836855529472,2022-07-10 12:47:18+00:00,"b'RT @melcutajar: @rickygervais Hi Ricky, I can\xe2\x80\x99t recommend After Life enough to people I know.. my mum had a severe stroke and had to put he\xe2\x80\xa6'"
1546113635671592960,2022-07-10 12:46:30+00:00,"b'RT @RitaCoaching: @rickygervais Afterlife Has turned out to be real, entertainment therapy for loss, and also for the fear of death. \nLivin\xe2\x80\xa6'"
1546090622901071872,2022-07-10 11:15:04+00:00,b'RT @guppabc: @Mark_Chmberlain @rickygervais After losing my fiancee and daughter I considered suicide for a year. I managed to get past my\xe2\x80\xa6'
1546090578525429763,2022-07-10 11:14:53+00:00,"b'RT @BunnyPeculiar: @Mark_Chmberlain @rickygervais #AfterLife is beautifully, accurately, poignantly observed. I was a dying Lisa, but wrote\xe2\x80\xa6'"
1546082934083526658,2022-07-10 10:44:30+00:00,b'@OGClownshoe @Mark_Chmberlain You seem to have the hang of it \xf0\x9f\x91\x8d'
1546079866092658693,2022-07-10 10:32:19+00:00,"b""@purbrooktony I can't call it but Kyrgios is definitely on a roll."""
1546075788549685249,2022-07-10 10:16:07+00:00,"b'RT @DeborahKeenan12: #RickyGervais  since we are talking about #Afterlife today ,these lines from the show are the most true and the most m\xe2\x80\xa6'"
1546075669859340289,2022-07-10 10:15:39+00:00,b'RT @Mark_Chmberlain: @rickygervais I lost my partner not too long before season 1 came out and it\xe2\x80\x99s almost scary how accurate it is. It\xe2\x80\x99s t\xe2\x80\xa6'
1546075409887936514,2022-07-10 10:14:37+00:00,b'RT @tmgm2005: @rickygervais I loved After Life it helped me grieve and not feel alone and wrong about not wanting to go on after losing my\xe2\x80\xa6'
1546075334784811011,2022-07-10 10:14:19+00:00,"b'RT @rikyre: @rickygervais @rickygervais you are bloody brilliant.#Afterlife is your masterpiece. So well written,so well cast and extremely\xe2\x80\xa6'"
1546074737931083779,2022-07-10 10:11:56+00:00,"b'RT @willgetthereso1: I watched #AfterLife shortly after my brilliant, kind, funny husband died suddenly &amp; always wondered about the look th\xe2\x80\xa6'"
1545873438593744896,2022-07-09 20:52:03+00:00,b'@Jimbo79a No.'
1545859308390416384,2022-07-09 19:55:54+00:00,"b'Thanks for your lovely tweets from around the world and for recommending #AfterLife to your friends. Mostly, thanks for supporting all the people who open up about grief. You\xe2\x80\x99ve created a nice little cult of kindness \xe2\x9d\xa4\xef\xb8\x8f https://t.co/gBrECI8167'"
1545858817090621444,2022-07-09 19:53:57+00:00,"b'RT @ratnakars: Only @rickygervais can write #AFTERLIFE\nDeep, philosophical, satirical &amp; so many emotions all rolled up in this great series'"
1545856367168262145,2022-07-09 19:44:13+00:00,b'RT @Anukulprakriti: By making #Afterlife @rickygervais has ensured that he will be remebered #Afterlife'
