twitter_id,date,tweet
1546304786072424448,2022-07-11 01:26:04+00:00,b'@annadrezen Congrats!'
1545643872818147328,2022-07-09 05:39:50+00:00,b'@garretdillahunt I love you my friend! \xf0\x9f\xa5\xb0'
1545643492939931648,2022-07-09 05:38:20+00:00,b'He Had a Dark Secret. It Changed His Best Friend\xe2\x80\x99s Life. https://t.co/BSBB0TvQH7'
1545630475514875904,2022-07-09 04:46:36+00:00,b'In every iteration of Father of the Bride I\xe2\x80\x99m always on the unreasonable dad\xe2\x80\x99s side'
1545462721222545408,2022-07-08 17:40:00+00:00,b'My recent tiny pleasure is tweeting little salty things late at night and then deleting ten minutes later \xf0\x9f\x98\x8f'
1545461752854286338,2022-07-08 17:36:09+00:00,b'Whoa https://t.co/HiwbD7SNOB'
1545278105043890181,2022-07-08 05:26:24+00:00,b'I wish I could watch this Warren Jeffs documentary without having to look at Warren Jeffs so much'
1544040285277020160,2022-07-04 19:27:45+00:00,b'Happy 4th! \xf0\x9f\x98\x98 https://t.co/1kGvn2Y73r'
1542902381699969029,2022-07-01 16:06:08+00:00,b'@ArielDumas this is our first disagreement. Slip n slide was the best time of my life'
1541656613412429824,2022-06-28 05:35:53+00:00,b'Love the show and love the new poster for this season https://t.co/RTZiey8Vmt'
1541646433903751169,2022-06-28 04:55:26+00:00,"b'The Old Man is so good. @jnwtts you are, like, not real'"
1540013580568760320,2022-06-23 16:47:04+00:00,b'@PadmaLakshmi YUM'
1539848235711270915,2022-06-23 05:50:03+00:00,"b'RT @TVGuide: ""@mindykaling combines her ensemble comedy writing skills with her knack for nailing female friendships &amp; casting absurdly goo\xe2\x80\xa6'"
1539847594003660800,2022-06-23 05:47:30+00:00,b'@caityweaver I am so sorry for your loss. And for the whole world\xe2\x80\x99s loss! Your mom sounds fabulous. \xe2\x9d\xa4\xef\xb8\x8f'
1539760866165305345,2022-06-23 00:02:52+00:00,"b'I\xe2\x80\x99ve partnered with Zelle to give away $100k to help you\xc2\xa0thrive this summer! Follow @Zelle and reply with\xc2\xa0#ZelleSweepstakes and what makes you thrive for your\xc2\xa0chance to win.\xc2\xa0\n\nNo purch nec, US only 18+, Rules: https://t.co/fVhWSTOAd5 Ends\xc2\xa07/6/22. Zelle req to claim prize. https://t.co/1ueth5v2xW'"
1539129361839833089,2022-06-21 06:13:30+00:00,b'@aswinn Yup!'
1539072700341137408,2022-06-21 02:28:21+00:00,b'@emilyfavreau Oh an EFavs rec. gonna watch !!!'
1538610946884587521,2022-06-19 19:53:30+00:00,b'Saw @Pixar\xe2\x80\x99s Lightyear with my daughter this morning. We loved it! Buzz rules + SO much action + awesome friendships with Alicia and Izzy! Also Mo \xf0\x9f\x98\x82 and Socks \xf0\x9f\x98\xbd\xe2\x9d\xa4\xef\xb8\x8fCongrats @ChrisEvans @UzoAduba @KekePalmer @TaikaWaititi #Lightyear'
1538530039737700352,2022-06-19 14:32:00+00:00,"b'Great Dads make great Grandpas! Happy Father\xe2\x80\x99s Days to my dad, the hero of my family. https://t.co/MvXzRx6b0r'"
1538199001014493184,2022-06-18 16:36:34+00:00,b'@MisterEteacher Thank you friend!'
1537981459503296512,2022-06-18 02:12:08+00:00,b'@emilylongeretta @thejustinnoble @warnerbrostv Can\xe2\x80\x99t wait!!'
1537145016182636545,2022-06-15 18:48:25+00:00,b'I\xe2\x80\x99m joining advocates across the country during @PanCAN Action Week 2022 to ask my members of Congress to increase the federal investment in #pancreaticcancer research. You can make a difference for patients by texting PANCAN to 52886 and taking 3 easy actions. #PanCANaction https://t.co/S0QMdMUU4Q'
1537128045642797056,2022-06-15 17:40:59+00:00,b'6:30am. Going after it! #thegrind #chilldontpaythebills @aliwong https://t.co/VlvlK8UrFl'
1536928234687717376,2022-06-15 04:27:00+00:00,b'@davidstassen Happy birthday Dave'
1536587566505664512,2022-06-14 05:53:18+00:00,b'Pachinko is a masterpiece'
1536442978947870720,2022-06-13 20:18:46+00:00,b'hahahaha I love this guy https://t.co/7rolmXhvUi'
1536182378351276038,2022-06-13 03:03:14+00:00,b'Ahhhhhhhhh!!!!!!!!! https://t.co/EpY0kqGllO'
1536163719440384002,2022-06-13 01:49:05+00:00,"b'RT @Variety: Michael R. Jackson wins the Best Book #TonyAward for ""A Strange Loop"" https://t.co/ff3414umF1 https://t.co/cuqdd0tHrG'"
1535684845191323648,2022-06-11 18:06:13+00:00,b'This is an utter joy. Brilliant and heartbreaking and totally original https://t.co/SYnXpclCQ3'
1535684619499995136,2022-06-11 18:05:19+00:00,"b'RT @TheLivingMJ: I\xe2\x80\x99ve been doggedly avoiding reading any reviews, pans or raves of A Strange Loop but I thought this one was pretty thought\xe2\x80\xa6'"
1535504873231294464,2022-06-11 06:11:04+00:00,b'@XoXoCaddie Happy birthday babe!'
1535496814983454720,2022-06-11 05:39:03+00:00,b'@neha_s6 Omg'
1535009231379714048,2022-06-09 21:21:34+00:00,"b'When people are in danger, they run toward safety. They have the right to seek asylum.\n \nI\xe2\x80\x99m proud to stand #WithRefugees and lend my voice to help @UNRefugeeAgency explain asylum. https://t.co/ywXa0tGmCp'"
1534973021869334528,2022-06-09 18:57:41+00:00,"b'.@GWillowWilson\xe2\x80\x99s Ms. Marvel is my fave comic - cannot wait to watch this new show! Iman, @bishakali @MiniB622 congrats! Check it out with me! \xf0\x9f\xa5\xb3 https://t.co/hnWxh1OSxl'"
1534963823718739968,2022-06-09 18:21:08+00:00,b'I\xe2\x80\x99m so pregnant here! Love an expecting photo flanked by fly queens https://t.co/CoDoSSvJrY'
1534756517567602688,2022-06-09 04:37:22+00:00,b'@RajivGoesTo Simply beautiful'
1534707434610077696,2022-06-09 01:22:20+00:00,b'@emilybagel33 Gorgeous lady'
1534707213427560448,2022-06-09 01:21:27+00:00,b'@justint2331 Beautiful'
1534690026138652672,2022-06-09 00:13:10+00:00,b'She\xe2\x80\x99s beautiful and I\xe2\x80\x99m so honored. I love Mindy!!! https://t.co/mIJ0xO1Imb'
1534331923937472512,2022-06-08 00:30:11+00:00,b'@MiniB622 @msmarvel @disneyplus This is thrilling'
