twitter_id,date,tweet
1546554710626541569,2022-07-11 17:59:11+00:00,b'T 4343 - \xe0\xa4\x98\xe0\xa4\xb0 \xe0\xa4\x98\xe0\xa4\xb0 \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xbe  ! \xe0\xa4\xb9\xe0\xa4\xb0 \xe0\xa4\x98\xe0\xa4\xb0 \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xbe  !! \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 https://t.co/7pZZEgXGpD'
1546197324371984384,2022-07-10 18:19:03+00:00,"b'\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xae \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xa7\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x88 ..  \xe0\xa4\x85\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa4\xa8\xe0\xa4\xbe, \xe0\xa4\x86\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa4\xa8\xe0\xa4\xbe, \xe0\xa4\x89\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\xa8\xe0\xa4\xbe  \xf0\x9f\x9a\xa9 https://t.co/QHKcaH4GZF'"
1546108139015401473,2022-07-10 12:24:40+00:00,b'congratulations Bhaiyu .. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/afJ822cJgv'
1546064955807760384,2022-07-10 09:33:04+00:00,"b'T 4342 - \xe0\xa4\x9a\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\x97\xe0\xa5\x87\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa5\x80, \xe0\xa4\x89\xe0\xa4\xad\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\xaa\xe0\xa4\xb9\xe0\xa4\xbe \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9f\xe0\xa5\x87\xe0\xa4\xb5\xe0\xa4\xb0\xe0\xa5\x80.. \n\n\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa0\xe0\xa5\x8d\xe0\xa4\xa0\xe0\xa4\xb2 \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa0\xe0\xa5\x8d\xe0\xa4\xa0\xe0\xa4\xb2 \xe0\xa4\x9c\xe0\xa4\xaf \xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa5\x80 || \xe0\xa4\x9c\xe0\xa4\xaf \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa0\xe0\xa5\x8d\xe0\xa4\xa0\xe0\xa4\xb2 \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa0\xe0\xa5\x8d\xe0\xa4\xa0\xe0\xa4\xb2 \xe0\xa4\x9c\xe0\xa4\xaf \xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa5\x80 || \n\n\xe0\xa4\x86\xe0\xa4\xb7\xe0\xa4\xbe\xe0\xa4\xa2\xe0\xa5\x80 \xe0\xa4\x8f\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xb6\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xb2\xe0\xa4\xae\xe0\xa4\xaf \xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xad\xe0\xa5\x87\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9b\xe0\xa4\xbe ..\xf0\x9f\x92\x90\xf0\x9f\x9a\xa9 https://t.co/LKKCvcmTii'"
1545777249659617281,2022-07-09 14:29:50+00:00,"b'T 4341 - In remembrance .. of a fine human, a generous soul and a great musician .. my privilege and honour to have worked under him .. \n\nhttps://t.co/Sg8HT5pT7h\n\n#ShillongChamberChoir #TheGreatIndianTrainJourney #MusicVideo #IndependentRelease'"
1545626448769196033,2022-07-09 04:30:36+00:00,b'T 4341 - Chup .. Revenge of the Artist .. coming soon!\n\n#ChupRevengeOfTheArtist\n#RBalki @iamsunnydeol @dulQuer @PoojaB1972 @shreya_dhan13 @HopeProdn @PenMovies @saregamaglobal @ItsAmitTrivedi @swanandkirkire @vishalsinha_dop @JhunJhunwala_R https://t.co/HWPSje433v'
1545482568526888960,2022-07-08 18:58:52+00:00,b'@AmarjeetKumar70 aabhaar'
1545480696734810112,2022-07-08 18:51:26+00:00,"b'""\xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x87, \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x89\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80\xe0\xa4\x82 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87 : \xe0\xa4\x9c\xe0\xa5\x8b \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x89\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87, \xe0\xa4\xb5\xe0\xa5\x8b \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87 ""  ~ \xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xb5\xe0\xa4\x82\xe0\xa4\xb6 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xaf \xe0\xa4\xac\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa4\xa8 \nyou are Abhishek .. the truest uttaradhikaari .. my pride, my ultimate joy .. \n\xe2\x9d\xa4\xef\xb8\x8f https://t.co/Wq4sGtFbEk'"
1545384966632382464,2022-07-08 12:31:02+00:00,"b'T 4340 - The Cholas Are Coming! #PS1\n\n\xe2\x96\xb6\xef\xb8\x8f https://t.co/mH1iKLx1td\n\n#PS1 releasing in theatres on 30th September in Tamil, Hindi, Telugu, Malayalam and Kannada!\n\n@madrastalkies_ @LycaProductions #ManiRatnam @arrahman @tipsofficial #TipsMusic'"
1545302659640729600,2022-07-08 07:03:59+00:00,"b'T 4340 - Tameez \xe0\xa4\xa4\xe0\xa4\xae\xe0\xa5\x80\xe0\xa4\x9c\xe0\xa4\xbc   - \xe0\xa4\x85\xe0\xa4\xa6\xe0\xa4\xac, \xe0\xa4\xb6\xe0\xa4\xbf\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa4\xbe\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb0 \n\xe0\xa4\x85\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9b\xe0\xa5\x87-\xe0\xa4\xac\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xb9\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xa8, \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xb5\xe0\xa5\x87\xe0\xa4\x95 ... \n\xe0\xa4\xb6\xe0\xa4\xac\xe0\xa5\x8d\xe0\xa4\xa6 \xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\x9c\xe0\xa5\x8d\xe0\xa4\xaf \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xac\xe0\xa5\x82\xe0\xa4\x9c\xe0\xa5\x80, \xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xb5\xe0\xa4\x82\xe0\xa4\xb6 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xaf \xe0\xa4\xac\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa4\xa8 \xe0\xa4\x95\xe0\xa5\x87, \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x85\xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa4\xbe/\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb8\xe0\xa5\x80 \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa4\xbe !!\n\xe0\xa4\x87\xe0\xa4\xa4\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\xb6\xe0\xa4\xbf\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa4\xbe\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\xb0\xe0\xa4\x96\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x89\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xa7\xe0\xa4\xb0\xe0\xa4\xa3 \xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xa8\xe0\xa4\xbe , \xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb6\xe0\xa5\x8b\xe0\xa4\xad\xe0\xa4\xbe \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa4\xbe ! \xf0\x9f\x99\x8f'"
